Month,Mean Return (%),Std Return (%),Highest Return (%),Highest Return Year,Lowest Return (%),Lowest Return Year,Mean Volume,Highest Volume,Highest Volume Year,Lowest Volume,Lowest Volume Year,Mean ATR,Mean RSI,Mean 20 Day MA,Mean Upper Band,Mean Lower Band,Mean Tenkan-sen,Mean Kijun-sen,Mean Senkou Span A,Mean Senkou Span B,Mean Chikou Span,Close > RSI Days,Close > Upper Band Days,High > ATR Days
Jan,-3.146584374750444,3.0087980405136685,-1.0190428770824322,2021,-5.274125872418455,2022,1759812333.3333333,2485167800,2022,1392003800,2020,4.761603065242146,51.60970616920162,389.13153513322794,400.39857317077895,377.864497095677,387.67058407864596,416.14764374180845,409.8810953039872,397.8905906476473,379.68173231795714,3,0,3
Feb,-2.695909412804935,5.353148019789027,2.7805490376659137,2021,-7.916576120026764,2020,1905332066.6666667,2297975100,2022,1307806200,2021,6.141866507088032,52.06284812933666,386.60145855284577,400.6900075220994,372.51290958359203,384.42894865337166,383.9550493206894,418.24263402035365,407.2589500828793,363.05368416769466,3,0,3
Mar,-1.7874567938926866,9.716691061345472,4.198654389457457,2021,-12.998720210699632,2020,3569554300.0,5926017600,2020,2380929500,2022,10.243284174845355,46.34716402168539,372.9614004620136,399.26081792592953,346.66198299809776,364.33819431812555,369.9400107995637,385.5244556170678,411.70478986657184,375.45556087770325,3,0,3
Apr,3.0708320966852867,10.908423943566227,12.69835537781887,2020,-8.776904916030038,2022,2046058766.6666667,2819312300,2020,1462106600,2021,7.0910275431176695,59.75957220793335,369.63684742639936,391.2045249193307,348.069169933468,372.9570185222323,365.055761319115,370.56241725739983,369.2002967350067,372.9760235741025,3,1,3
May,1.8822865240541997,2.505372994667202,4.764526237415367,2020,0.22572637761679726,2022,1958724833.3333333,2418478100,2022,1547235900,2021,7.466599782307942,48.88892589168379,372.7865900372702,387.8678559351633,357.70532413937707,369.3050437200637,370.6473658788772,366.40944549015586,368.413344525534,372.6290606786335,3,1,3
Jun,-1.8012686921822898,5.93024999872778,1.909339313046443,2021,-8.64068808481926,2022,1866479600.0,2358674500,2020,1282152400,2021,6.408812680752639,55.544831950183855,374.067254950233,391.3310913000765,356.80341860038953,373.24828067796057,370.5719271683245,370.3429708659735,365.8401991608855,385.84612477840625,3,1,3
Jul,5.846405401750928,3.383950914851129,9.208744926275681,2022,2.4412494198551737,2021,1454999466.6666667,1505145300,2020,1422104700,2021,5.517147519519171,61.62069320122104,375.6267985626045,388.0086506642904,363.24494646091847,377.0038885834929,374.85778321325347,372.2412653307894,367.98989046655515,400.4927282864569,3,2,3
Aug,1.9584851933640863,5.599698140720586,6.979667190901329,2020,-4.080195625391481,2022,1247653033.3333333,1443394400,2022,1045563300,2020,4.268858070076423,67.12282440052473,392.48666466444246,405.6683608643628,379.30496846452206,396.26359628612386,387.88620368712924,373.9624637015245,372.2484755211803,384.65113013107344,3,2,3
Sep,-6.236337107379295,2.956523000236506,-4.128133466245099,2020,-9.615871426764377,2022,1853060300.0,1998908600,2022,1745559600,2021,6.034115365303022,41.15596446023004,396.2770572238498,412.718140591221,379.8359738564787,392.50738040984623,396.2290465339782,388.46555655343195,378.2909550742497,388.8698420448909,3,0,3
Oct,4.2168504878085775,5.837710353050047,8.12755455920733,2022,-2.4933577408336127,2020,1720804433.3333333,2024732000,2022,1508665200,2021,6.765315238089198,54.65463590469448,382.99828803542715,398.98923349061147,367.0073425802428,382.4527130237045,385.00300196307734,397.19360244773,388.9103146287442,407.15837035516296,3,1,3
Nov,5.211117113482115,5.848356034115126,10.877683617376842,2020,-0.8034844728157298,2021,1538860366.6666667,1745985300,2022,1335351500,2021,5.844748378070303,64.96821257772702,395.20452333480597,412.6752415577371,377.73380511187474,399.6940772041442,390.3789681934175,383.96061071971104,390.6453306410048,409.0067237793453,3,1,3
Dec,0.44318824028390935,5.769053794918971,4.258493722111578,2021,-6.193583313783257,2022,1669316333.3333333,1927433900,2021,1344541500,2020,5.832681749069034,52.197199395931825,408.0530090232948,420.1178250015394,395.98819304505014,408.2039803288888,403.9361085657777,391.19393981449184,390.25303129165894,416.2747754183682,3,1,3
