Ticker,Month,Mean Return,Std Return,Highest Return Value,Highest Return Year,Lowest Return Value,Lowest Return Year,Mean Volume,Highest Volume Value,Highest Volume Year,Lowest Volume Value,Lowest Volume Year,Mean ATR,Mean RSI,Mean 20 Day MA,Mean Upper Band,Mean Lower Band,Mean Tenkan-sen,Mean Kijun-sen,Mean Senkou Span A,Mean Senkou Span B,Mean Chikou Span,Close > RSI,Close > Upper Band,High > ATR
BTC-USD,Jan,-1.5612312797592678,25.042599595066093,39.835556219679205,2023,-32.08345930131708,2015,579237321415.6666,2153473433571,2021,1098811912,2015,838.6358558353985,50.833208696442505,13618.931550453215,15807.449731969278,11430.413368937152,13590.718443292872,13652.153324961235,12909.308751506189,13324.020578746726,14718.306199487393,9,2,9
BTC-USD,Feb,12.330202367766653,13.234737766596787,36.308750593940786,2021,-8.031850219040493,2020,584613663592.6666,2267152936675,2021,711518700,2015,804.2464353246866,58.420829213766865,14273.521845780193,16518.407850561816,12028.635840998568,14681.879582072583,14064.775829920694,13638.34683452934,13670.012355459932,15752.109467772101,9,3,9
BTC-USD,Mar,-1.1637641163328156,20.496193698438848,30.531110958991945,2021,-32.93328919130871,2018,576859863650.8889,1681184264687,2021,959098300,2015,898.8023679218595,50.61829612801472,15633.991422238914,17796.194800779573,13471.788043698256,15708.968998679979,15422.951142205133,14576.944353465964,14107.813684470337,16700.586694478134,9,3,9
BTC-USD,Apr,12.329387305152926,18.829458101822784,34.477896223547646,2020,-17.180562778839857,2022,555157886028.7778,1844481772417,2021,672338700,2015,681.7518014332604,57.07585666915515,16705.052433711866,18342.653591990704,15067.451275433028,16683.360206943085,16504.95288829097,15731.036054088452,14822.733865384704,15231.841272650823,9,4,9
BTC-USD,May,8.6883571721568,35.59683666980403,69.62881891411045,2017,-35.35455959448175,2021,641217544929.7778,1976593438572,2021,568122600,2015,913.0899769108661,52.997158266985835,15614.491390217336,17896.092984433937,13332.88979600073,15050.314848923768,15600.83967779016,16601.60227401624,16017.994817863655,13132.713893603252,9,3,9
BTC-USD,Jun,2.861629457465282,20.709377042136875,26.713348191662334,2016,-37.76883082049309,2022,455795709424.0,1189647451707,2021,629780200,2015,739.8046322857891,52.60949463596843,13319.199853125678,15026.69733751687,11611.702368734484,13047.920200658726,13524.368223232694,14977.562050218936,15717.704173646149,12807.739558862757,9,3,9
BTC-USD,Jul,9.79785233168009,12.650896989361362,23.916341296986676,2020,-7.226091336683538,2016,392183986076.1111,927582363389,2022,999892200,2015,573.2895224903768,53.455302730231125,12796.044059455351,13961.210093005098,11630.878025905604,12877.899847215223,12909.914651029852,13125.1104492543,14461.751705046627,14360.562579301952,9,5,9
BTC-USD,Aug,1.5062850430115102,25.18898217989515,63.57682892979797,2017,-19.179341405669803,2015,420931696828.2222,1014674184428,2021,905192300,2015,579.6449035199189,48.891077953662524,14112.28057439387,15678.133085296875,12546.428063490866,14310.272117368637,13843.918287461804,12991.294062282876,13229.388555301133,13932.101170037384,9,1,9
BTC-USD,Sep,-3.649007940045504,6.567632392828999,5.953895478755822,2016,-13.880620170759904,2019,430800886996.8,1123272250385,2022,410881000,2014,499.178288032895,46.76376533836927,14077.676922726103,15244.755143274699,12910.598702177504,12562.272788798015,14229.859365279584,14216.769560835095,13645.218686421715,13594.645996457053,10,0,10
BTC-USD,Oct,19.268249368267554,19.814558687163483,49.08578726350426,2017,-12.565897341518484,2014,441390459985.1,1153077903534,2021,902994450,2014,515.6664352838894,61.56187200276262,13198.937035094608,14709.025936275419,11688.848133913798,13663.10807229319,13162.388037350562,13956.4165456765,14088.177606917623,15446.049441626765,10,7,10
BTC-USD,Nov,7.023135725918816,28.49255293296523,58.20913616777115,2017,-36.41157587086258,2018,492329718940.2,1224531549126,2022,659733360,2014,650.6463166009812,53.35274212238945,15380.108973571778,17012.961316161374,13747.25663098218,15438.750256703695,15219.942812245688,13797.304278176627,14798.833481597898,15726.746399434405,10,2,10
BTC-USD,Dec,9.203873303894746,23.034746435787238,47.7731740726012,2020,-18.768354629620298,2021,465152831288.1,1212259707946,2020,553102310,2014,780.575509917791,55.8024768226412,15567.917674850958,17487.39961888369,13648.435730818219,15638.712321619834,15594.607937326738,15371.400274350566,14445.05156153423,16535.239002242546,10,2,10
