Date,Open,High,Low,Close,Volume
2008-11-17,101481.9242900088,149999.9056176068,97959.35468704176,116609.59375,5834
2008-11-24,107888.68244949495,112665.24182674964,78841.72948232324,79001.328125,8048
2008-12-01,85499.28263083528,99281.76699092591,77656.1484375,77656.1484375,21576
2008-12-08,71978.97587890625,84359.2685308689,67031.41877858232,74783.3515625,18496
2008-12-15,73574.9788025,80905.11691375,64466.45570625,71249.3984375,12494
2008-12-22,70918.78874418627,78647.92212604743,70861.78923547048,74144.9609375,6198
2008-12-29,74156.37428444068,78237.53984844219,59644.29673423423,60738.6875,7224
2009-01-05,61217.4760308841,67943.41846258273,57364.30901069065,67179.625,15875
2009-01-12,68296.81624753497,86308.6622951239,67943.41926812025,76595.9453125,26177
2009-01-19,78773.32133928571,89204.23147321428,76835.33803571429,79799.3125,25970
2009-01-26,78511.12937738378,80893.7090259787,66951.62811577972,79206.5234375,25428
2009-02-02,82957.07081483546,83777.86360014096,66951.61150137814,67726.8046875,29512
2009-02-09,67795.22181944444,81908.30145833333,65857.23834722223,76949.34375,33912
2009-02-16,83869.08154296875,99110.7509765625,83116.68798828125,93935.1953125,37896
2009-02-23,90082.02576451756,105107.0966272908,88303.64104934865,103260.3125,52903
2009-03-02,110351.04996136714,135658.8320806063,106680.28156389191,125410.3203125,53965
2009-03-09,131406.66425796208,132238.85706535613,86388.45334838524,89306.828125,44862
2009-03-16,86639.2552993363,92350.60620788467,73643.36700443587,84165.4765625,35580
2009-03-23,77713.13144640884,78807.52203154235,63303.6554088174,67020.0234375,32705
2009-03-30,72024.58005908287,76105.74493106002,58880.49319486594,59632.88671875,33057
2009-04-06,61627.86828160242,65663.4334631946,55574.52050921417,55597.3203125,23426
2009-04-13,57318.7020925556,60020.478623171286,51755.55041770136,52792.94140625,30806
2009-04-20,55471.91863331981,61080.66996245942,51322.35464184253,52667.54296875,42383
2009-04-27,54377.53471229705,56030.52056833124,47970.78953235765,49851.7734375,38460
2009-05-04,48848.576373996366,49065.174495608015,41324.641623275806,41529.83984375,42038
2009-05-11,43319.6253652791,48654.77922605558,42783.82999891907,47788.38671875,43012
2009-05-18,46374.7944640889,47708.582800445445,41073.84081959497,46545.79296875,39832
2009-05-25,47605.9921875,47628.7919921875,40709.05126953125,41130.84765625,32417
2009-06-01,39546.25617420709,40389.848839785445,36753.28045708955,38189.66796875,37385
2009-06-08,38919.2640596409,40013.65461316331,36251.68708543001,37380.27734375,36780
2009-06-15,38793.86022456559,42954.8237808296,38714.06092348655,40674.84375,40756
2009-06-22,41917.43788004971,44984.011388272,39865.45560688981,40424.05078125,44700
2009-06-29,40013.65540135783,42863.63085729499,38486.06855697551,42818.03125,34951
2009-07-06,44231.61636451573,47275.3899648574,42852.22832840583,45668.00390625,60930
2009-07-13,45052.4140625,46329.203125,36342.888671875,36753.28515625,46716
2009-07-20,36035.08638091965,36684.88072565626,32124.920411715146,32136.3203125,49684
2009-07-27,32295.91333043144,33310.50432457489,30471.929520735343,31509.3203125,54347
2009-08-03,30471.937428740435,30984.93300834886,28340.15579792321,29058.349609375,46142
2009-08-10,29400.349609375,30608.73931801934,28659.35592011196,29400.349609375,41487
2009-08-17,31133.128314713595,31748.72294268669,27245.76223806865,27439.560546875,41345
2009-08-24,27017.766606494635,28271.75577388468,26276.77300758233,27086.166015625,41680
2009-08-31,27895.559089188468,30209.73910353471,27154.56548853573,27998.158203125,36378
2009-09-07,27177.366152777777,27644.76213107639,25239.382828125,25649.779296875,25306
2009-09-14,26276.77274623593,26310.97245046097,23175.99956316601,23802.994140625,44928
2009-09-21,24315.991231547487,25649.779780113386,22913.80327023462,25387.58203125,44746
2009-09-28,25079.781949626864,27131.76410914179,23517.99552821828,26732.767578125,44742
2009-10-05,26356.57366291236,26618.77141128908,23153.201171875,23153.201171875,35674
2009-10-12,22799.80569738883,23472.3999654618,21580.016092578528,22047.412109375,34047
2009-10-19,21967.61038860964,22959.40182805387,21215.21688282436,22537.60546875,49067
2009-10-26,22514.803666229524,25615.576626844424,21773.81012784729,25398.978515625,59514
2009-11-02,25170.980625931446,25946.173869846003,22765.601589667163,22948.0,50692
2009-11-09,22378.006248327085,22446.405656116167,20633.82134970557,21295.015625,42749
2009-11-16,20861.8212890625,21694.01416015625,20120.82763671875,21386.216796875,36380
2009-11-23,20622.42192202548,22036.009715464486,20166.425859625804,21306.416015625,23479
2009-11-30,21306.41696978176,21659.813933967544,19607.83156127588,20371.625,42000
2009-12-07,20440.02588936549,21477.41705274098,20075.22899674993,20223.427734375,34136
2009-12-14,19813.02645076717,20782.01796303139,19596.42834802576,20246.22265625,19952
2009-12-21,19949.82807081197,19949.82807081197,18889.63720762025,18901.037109375,11218
2009-12-28,18730.04095740795,19516.634278199883,18661.64153820865,19505.234375,7586
2010-01-04,19026.43857191289,19026.43857191289,17852.248534221442,17863.6484375,19887
2010-01-11,17635.645631327883,18524.83784803349,17601.445930685357,18296.83984375,19485
2010-01-18,18331.03858240224,20485.61960981145,17612.844906599163,20405.8203125,25702
2010-01-25,19858.6262786348,21625.610821222854,19744.627275887186,21523.01171875,40414
2010-02-01,21078.41612305199,23118.99832209272,19630.62875278287,21762.41015625,51761
2010-02-08,21773.81092424398,22286.80646957957,20759.21973458025,20827.619140625,52413
2010-02-15,20348.82411693941,20554.02234332872,18809.837419019623,19026.435546875,22271
2010-02-22,18809.84125788205,20189.2296167934,18798.44135408939,19208.837890625,28468
2010-03-01,18946.63344649869,18969.4332460733,17384.84717563809,17419.046875,20146
2010-03-08,17396.2509765625,17578.6494140625,16609.65771484375,16826.255859375,18677
2010-03-15,16917.455078125,17213.8525390625,15948.46337890625,16415.859375,18810
2010-03-22,16723.65623133957,16746.456035335945,15503.866717533618,16108.0615234375,26779
2010-03-29,15902.862276867238,16096.660598520815,15446.86622591764,15606.46484375,19493
2010-04-05,15389.866648706897,15640.664475574711,14865.471192528736,14876.87109375,17352
2010-04-12,14831.271488864944,15093.469216954025,14113.077711925289,14876.87109375,21311
2010-04-19,15013.669806703008,15241.667829583845,13907.879395730955,13919.279296875,21751
2010-04-26,13907.879037652903,15161.868131211771,13816.679830848623,14911.0703125,27116
2010-05-03,14705.872837217516,20497.022760710923,14227.07697740113,18160.04296875,63878
2010-05-10,15823.062104773042,16883.252865395443,14956.669655232155,16450.056640625,45736
2010-05-17,16347.462110094382,20462.82739722414,15880.06605255333,18570.443359375,65415
2010-05-24,18878.23777173913,21067.018962665406,17487.449723338057,18091.64453125,47290
2010-05-31,18661.640609967068,19402.634281101982,17248.0526834943,19254.435546875,28762
2010-06-07,19049.234708091088,20531.22184875646,17612.847171753878,17647.046875,42154
2010-06-14,17191.053755634533,17749.64900366245,16256.261707914357,16438.66015625,22084
2010-06-21,15823.061482467125,18809.835335785847,15766.061981449591,18205.640625,32604
2010-06-28,18160.045680785675,22058.812550106893,18011.846940138963,21329.21875,46577
2010-07-05,20462.825261404963,21614.21542931689,18000.446288444815,18023.24609375,26406
2010-07-12,18194.241272047544,18673.037094996165,16951.652112490414,18581.837890625,30513
2010-07-19,18353.840071950173,19026.43421123282,16529.855965420964,16586.85546875,35838
2010-07-26,16484.25782053755,17270.85103604038,15720.46440838263,16621.056640625,26684
2010-08-02,15845.861786177622,16267.658107104651,15378.465862988209,15652.0634765625,20392
2010-08-09,15458.269306870105,17806.649452309073,15332.870367065112,17464.65234375,24194
2010-08-16,17806.644023160818,18114.44132701827,16427.256105873712,17704.044921875,25060
2010-08-23,17453.24621651786,19425.428839285712,17191.048526785715,17954.841796875,37408
2010-08-30,18114.44593738791,19208.836629640424,15834.465328528517,15891.46484375,32690
2010-09-06,16130.861313920455,16472.858373579547,15549.4663125,15674.865234375,15754
2010-09-13,15207.4697265625,15401.26806640625,14705.8740234375,14956.671875,25546
2010-09-20,14785.671791431085,15025.069715579157,13953.479007487776,13987.6787109375,31706
2010-09-27,13953.479493780587,14569.07417732973,13565.882841175571,13976.279296875,25695
2010-10-04,14078.87835661844,14500.674712241826,13155.486334848323,13246.685546875,24403
2010-10-11,13201.084905431284,13565.881724925066,12574.090371926344,12836.2880859375,22491
2010-10-18,12847.68844739819,13406.283597285068,12380.292505656107,12596.890625,26189
2010-10-25,12357.494140625,12916.08935546875,12152.2958984375,12494.29296875,23972
2010-11-01,12323.293360764415,12710.890006708903,11171.903324282266,11217.5029296875,28091
2010-11-08,11331.503394138756,12061.097174043063,11149.10494916268,11912.8984375,28386
2010-11-15,11776.09863375604,12688.090783514494,11639.29981129227,11798.8984375,27312
2010-11-22,11969.896495409605,12448.692355225989,11730.498565501412,12106.6953125,19969
2010-11-29,12220.694219728604,12460.09214754045,10875.505863452505,10921.10546875,27742
2010-12-06,10978.106974812295,11057.906298616746,10487.911128584956,10533.5107421875,17722
2010-12-13,10385.310057520604,10750.106898179944,10339.710452438188,10373.91015625,16452
2010-12-20,10305.508211549375,10465.106790046822,9986.311054554484,10043.310546875,7815
2010-12-27,10168.71438052309,10191.51418855117,9906.516588200186,9997.7158203125,7429
2011-01-03,9803.916509070212,9929.315441162971,9541.718741967172,9701.3173828125,20141
2011-01-10,9826.714255634291,9917.913459862915,9176.919925505345,9199.7197265625,15651
2011-01-17,9211.12061668682,9678.516588573157,9108.521500906892,9427.71875,14870
2011-01-24,9439.119140625,9530.318359375,8948.92333984375,9507.5185546875,21771
2011-01-31,9427.719764759207,9473.319376680654,8732.325682957138,8743.7255859375,18654
2011-02-07,8675.32568359375,8698.12548828125,8299.12890625,8321.9287109375,18099
2011-02-14,8356.127406923111,8401.727010780809,8025.530278954802,8071.1298828125,16768
2011-02-21,8321.927747571792,8994.521907991977,8185.12893528294,8435.9267578125,34324
2011-02-28,8337.889157762715,8768.805496515013,8166.890610638787,8372.0888671875,31552
2011-03-07,8310.529556795602,8967.163990912786,8246.690097923098,8677.6064453125,36532
2011-03-14,8848.602024838645,9787.953747135352,8743.722949048235,9140.439453125,54898
2011-03-21,8816.68447265625,9003.64287109375,8274.04912109375,8390.328125,44694
2011-03-28,8328.76661964699,8556.764610877404,7895.570436309206,8002.7294921875,25197
2011-04-04,7948.0119140625,8160.05009765625,7834.012890625,8059.73095703125,33824
2011-04-11,8027.811708699148,8540.80734472792,7959.412290561978,8196.5302734375,30476
2011-04-18,8474.685505192454,8673.043761569033,7845.411036687445,7852.2509765625,24008
2011-04-25,7868.212389688513,7952.571664802531,7368.896680229867,7389.41650390625,23977
2011-05-02,7293.656878424124,7975.370978658201,7270.857075740711,7777.0126953125,43585
2011-05-09,7770.172656479172,7881.891688218457,7423.615660063435,7772.45263671875,35153
2011-05-16,7856.812597286447,8128.130269682584,7596.894827091829,7827.1728515625,41704
2011-05-23,8121.291139795677,8239.85013453722,7756.494232898623,7818.0537109375,36682
2011-05-30,7612.852915770884,8419.965803516585,7574.09325731982,8351.56640625,35070
2011-06-06,8415.406438183943,8996.80135602109,8367.526856715001,8932.9619140625,48648
2011-06-13,8885.084276244243,9195.161633588152,8483.807696152124,8910.1640625,47345
2011-06-20,8989.96298828125,9024.1626953125,8317.36875,8891.923828125,51557
2011-06-27,8885.08388671875,8944.36337890625,7496.57578125,7523.935546875,54330
2011-07-04,7551.294814903847,7649.33396859976,7204.737806490385,7409.93603515625,38785
2011-07-11,7674.413591056034,8068.850177880959,7596.894261853448,7868.2119140625,56077
2011-07-18,7986.77158203125,8253.529296875,7334.69716796875,7364.3369140625,53009
2011-07-25,7576.376079132441,8506.608230888696,7382.577714183221,8292.2900390625,70102
2011-08-01,7986.771280098466,11142.264129557863,7952.571574360106,10332.87109375,120119
2011-08-08,11149.104600301393,12995.888797897327,9806.196091185337,10070.673828125,126624
2011-08-15,9813.036187636382,11559.501271216648,9293.200627510663,11493.3818359375,112399
2011-08-22,10775.188228865609,11602.821180003612,9573.638462337429,9860.916015625,70570
2011-08-29,9484.716385331782,9883.712867887803,8495.20510859284,9792.513671875,86396
2011-09-05,10647.5064313961,10656.626351251683,8969.441177968363,10143.630859375,68271
2011-09-12,10542.63004484305,10652.069111052491,8531.687203244526,8643.40625,111162
2011-09-19,9076.601909642404,11121.744314301844,8529.40661742583,10538.0693359375,137052
2011-09-26,10196.07114641854,10711.346656054182,8928.402193509615,10551.748046875,118314
2011-10-03,10779.745929391654,12343.812280398988,9357.038344801893,9753.7548828125,120837
2011-10-10,9245.321358522227,9311.440796104756,8091.651171737456,8093.93115234375,56253
2011-10-17,8191.97075083558,8800.725604849802,7740.534566959865,7770.17431640625,64675
2011-10-24,7726.853145131609,8046.050383348908,6680.342199833466,6823.98095703125,56624
2011-10-31,7063.377870249921,8025.529407127089,7038.298090852649,7229.81640625,52434
2011-11-07,7245.776816953737,7663.013178660009,6826.26047512885,6994.97900390625,55830
2011-11-14,7077.056806144068,7909.249375165519,6960.777844445181,7802.09033203125,50381
2011-11-21,8139.529828184866,8951.202830659324,8093.930221304278,8926.123046875,39690
2011-11-28,8178.289828517765,8347.00838087637,6798.901663964309,7074.779296875,39841
2011-12-05,6753.300995633199,7289.096314327933,6680.341633087533,6865.02001953125,61180
2011-12-12,7065.65947265625,7692.6541015625,6937.98056640625,7478.3359375,50170
2011-12-19,7439.575722018631,7790.692688365818,6625.622754577426,6634.74267578125,41633
2011-12-26,6680.342192063686,6892.380357204273,6554.943277195596,6732.78173828125,22628
2012-01-02,6370.264844587652,6621.062673114725,6295.02549602953,6379.384765625,27642
2012-01-09,6342.905161881932,6440.944314276225,6078.427448446165,6167.3466796875,29206
2012-01-16,6019.148741285349,6169.627459817483,5795.710644070969,5804.83056640625,26560
2012-01-23,5813.950393028607,5932.509381435465,5538.072746928035,5743.27099609375,28753
2012-01-30,5893.74951171875,5962.14892578125,5346.55419921875,5357.9541015625,29160
2012-02-06,5426.353515625,5458.2732421875,5234.83515625,5369.35400390625,25052
2012-02-13,5264.474701998764,5380.753701479898,5095.756153732022,5132.23583984375,28047
2012-02-20,5093.476956289379,5234.835761701171,5034.197457245725,5066.1171875,19241
2012-02-27,5157.315419952849,5196.075084912707,4936.157331652484,5031.91650390625,32125
2012-03-05,5066.116403033509,5373.913754252917,4947.557423304552,4984.037109375,33316
2012-03-12,4988.597790617322,5041.03734691723,4619.240915809275,4639.7607421875,27690
2012-03-19,4642.0391742153415,4824.437570058773,4541.720056501455,4703.5986328125,29280
2012-03-26,4596.43994140625,4758.3185306125215,4487.000895182292,4596.43994140625,25798
2012-04-02,4605.559298358386,4728.678210294699,4450.520668512659,4683.07861328125,25445
2012-04-09,4854.07793669524,5107.155743634259,4746.918865288628,4924.75732421875,40739
2012-04-16,4847.237398286266,4993.156115826399,4687.638800976747,4828.99755859375,35974
2012-04-23,4968.076697003061,5047.876001452399,4525.7605523410175,4562.240234375,35099
2012-04-30,4594.160278774106,4920.197459848397,4439.121619242274,4906.517578125,36328
2012-05-07,4965.797941062358,5186.95606791408,4851.7989066027085,5050.1572265625,37995
2012-05-14,5186.955040149711,5813.9496054425335,5118.555633026858,5775.18994140625,67957
2012-05-21,5743.269563583796,5766.069363359834,5319.193287749503,5440.0322265625,47346
2012-05-28,5316.913406471419,5953.02783203125,5218.874265614528,5953.02783203125,40620
2012-06-04,5927.948672715054,6117.187034190189,5237.114654317877,5300.9541015625,53540
2012-06-11,5168.716313809037,5551.753076367449,5104.876853382635,5123.11669921875,58178
2012-06-18,5177.835546745825,5289.554587604717,4863.198248000372,5170.99560546875,52549
2012-06-25,5330.594012690243,5471.952793180746,4828.9983399820085,4831.2783203125,35811
2012-07-02,4792.5189453125,4963.51748046875,4689.91982421875,4890.55810546875,10885
2012-07-09,4906.51796875,5212.0353515625,4817.59873046875,4856.3583984375,25580
2012-07-16,4892.8380859375,4984.0373046875,4596.440625,4765.1591796875,23091
2012-07-23,4979.476696789687,5136.795328693756,4482.441019179727,4509.80078125,43122
2012-07-30,4534.880853362301,4824.4383538032325,4411.7619161669445,4443.681640625,33926
2012-08-06,4409.481525570818,4423.161406208576,4295.482520256163,4300.04248046875,27209
2012-08-13,4318.28310877371,4373.00264130305,4165.524413795971,4176.92431640625,25657
2012-08-20,4195.162802555285,4352.481407651108,4097.123671843396,4227.08251953125,28899
2012-08-27,4199.723638043151,4347.922354912209,4179.203815707435,4256.72314453125,24125
2012-09-03,4265.842931988595,4350.202198949353,3967.16552734375,3967.16552734375,20744
2012-09-10,3987.685892044478,4042.405424010783,3663.92866124384,3730.048095703125,35345
2012-09-17,3755.127637780231,3853.166792864961,3711.808011114885,3775.6474609375,24515
2012-09-24,3830.367330744325,4005.92583340344,3746.008050245789,3917.006591796875,36304
2012-10-01,3875.965937999277,3928.405477160444,3663.9278013910816,3746.007080078125,33157
2012-10-08,3789.3276779427233,4024.16567483087,3764.24789186729,3996.805908203125,37906
2012-10-15,3967.165328477037,4005.924989732272,3704.9676199857377,3946.6455078125,42950
2012-10-22,3962.6051143741342,4192.8830870736665,3921.565475675208,4115.36376953125,52444
2012-10-29,4069.76499080658,4170.084127834865,3905.6064029421127,4085.724853515625,19225
2012-11-05,4103.964935207466,4432.282130024063,3919.28651312313,4382.12255859375,53356
2012-11-12,4331.962704706288,4710.439446275364,4270.40323469204,4550.8408203125,43406
2012-11-19,4391.242909663865,4393.522890406162,4060.645702030812,4069.765625,29000
2012-11-26,4124.483661358173,4268.122395833334,3850.8860718816777,4001.36474609375,41714
2012-12-03,3932.96577580843,4142.723950518213,3926.125835328763,3964.885498046875,34830
2012-12-10,3976.286375696827,4008.206105776962,3789.327956656035,3987.686279296875,38185
2012-12-17,3955.765609014602,3960.325569370815,3700.407829066685,3830.36669921875,42881
2012-12-24,3860.0073967086832,4072.0456057422966,3841.767550770308,4069.765625,36593
2012-12-31,4090.284791064864,4099.404712561106,3515.729736801572,3527.129638671875,64531
2013-01-07,3572.728892802254,3634.288356813525,3476.9697265625,3476.9697265625,29612
2013-01-14,3492.9296756787994,3543.0892402120458,3381.210645582023,3390.33056640625,32340
2013-01-21,3388.050824554273,3413.130608585293,3262.6519043991684,3264.931884765625,28167
2013-01-28,3255.812159144138,3308.251710726992,3180.572802525261,3194.252685546875,50296
2013-02-04,3248.9715642370525,3305.9710653640186,3144.092482163436,3153.21240234375,50190
2013-02-11,3155.4931164079567,3176.0129415869105,3100.773582597414,3130.413330078125,31456
2013-02-18,3114.4530777698865,3260.37181640625,3057.453570490057,3134.972900390625,44293
2013-02-25,3091.653564095672,3333.331497572177,3066.573778546223,3114.453369140625,94020
2013-03-04,3134.9737754349794,3148.6536610005137,2900.1357398933046,2911.53564453125,61389
2013-03-11,2918.3748001598724,2929.7747017229967,2836.295508905376,2852.25537109375,40932
2013-03-18,2934.334362549801,2973.0940239043825,2843.13515936255,2861.375,50661
2013-03-25,2834.016067504883,2925.215297352184,2790.6964333274145,2808.936279296875,41116
2013-04-01,2804.376024190251,2952.5747571759143,2767.8963360707025,2875.055419921875,61619
2013-04-08,2870.495567380315,2897.8553345038763,2633.377585642783,2674.417236328125,111445
2013-04-15,2720.016605490748,2941.174703338697,2710.8966839300083,2834.015625,76297
2013-04-22,2820.3354809280163,2872.7750250358126,2633.377106282828,2685.816650390625,51836
2013-04-29,2663.017136074166,2690.3769011708187,2501.138525918973,2528.498291015625,57724
2013-05-06,2519.37841796875,2523.93837890625,2416.779296875,2428.17919921875,39103
2013-05-13,2439.578944352589,2455.538806605363,2268.5804202157256,2273.140380859375,49654
2013-05-20,2282.260496857106,2398.539503190485,2186.501315170794,2339.260009765625,69705
2013-05-27,2264.02014805056,2423.618748618072,2234.380407945165,2416.77880859375,46611
2013-06-03,2398.539552673813,2558.1381921102834,2341.540038589359,2352.93994140625,95741
2013-06-10,2327.8594454473896,2503.417895299935,2323.29948571096,2409.938720703125,104911
2013-06-17,2362.060127599508,2628.8178833226184,2291.380722236974,2549.0185546875,128605
2013-06-24,2631.097409431416,2708.6167438514053,2416.7792495643853,2494.298583984375,125262
2013-07-01,2437.2988689330464,2489.738414288949,2355.2195805498945,2359.779541015625,69315
2013-07-08,2323.299940862576,2336.9798227518545,2156.8613778763456,2170.541259765625,58923
2013-07-15,2150.021232828159,2186.500914403186,2102.141650760936,2104.421630859375,49593
2013-07-22,2097.582225716991,2165.981646120806,2079.342380275974,2106.7021484375,47417
2013-07-29,2122.6617655572745,2143.181589284466,2036.0225098202427,2038.302490234375,50915
2013-08-05,2047.4226042304945,2122.6619649650224,2036.022701088899,2093.022216796875,44676
2013-08-12,2127.221028980044,2238.940032645662,2072.501516980557,2220.7001953125,56782
2013-08-19,2234.3809091685093,2289.1004416379424,2182.85334942646,2191.061279296875,89669
2013-08-26,2183.3092045594767,2334.6999012833166,2164.157369431762,2309.6201171875,153224
2013-09-02,2241.220058543412,2305.515486469072,2170.5406874194587,2211.580322265625,163720
2013-09-09,2189.6932216106984,2190.605213789628,2070.678242260346,2078.43017578125,110372
2013-09-16,2010.487072252248,2051.982722870291,1925.6717863736087,1997.26318359375,146292
2013-09-23,2003.190887457946,2072.9582914600096,1997.2629380982933,2054.262451171875,194868
2013-09-30,2108.9818534233204,2129.95767293845,2034.6544929675365,2055.17431640625,228058
2013-10-07,2108.069616425844,2218.4206541016074,1993.1586185155447,1995.4385986328125,279054
2013-10-14,2032.8303449680004,2036.934309325271,1849.0639409702203,1853.6239013671875,257272
2013-10-21,1849.9762675739264,1864.568143482816,1802.5526708700347,1803.0086669921875,149982
