Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,3.208311943445719,19.003466801503272,45.45454545454545,0.31770211977251556,-0.9266457015648615,0.10520046473831635,0.05260023236915817,5,5
Feb,5.912437661682023,14.454972288290998,45.45454545454545,1.1587966051936596,0.6446513792946464,0.3131950449151798,0.1565975224575899,5,5
Mar,1.0391511456690583,15.72015947210244,36.36363636363637,0.9420693289243952,-0.17125339247652338,-0.05857891778081464,-0.02928945889040732,4,5
Apr,-0.6233845921154255,14.156170229458379,45.45454545454545,0.2188810367505,-0.9280145025179452,-0.15298254956918617,-0.07649127478459308,5,5
May,8.792027462239004,15.364597854748547,63.63636363636363,0.2518099961382963,-1.0903950822118875,0.4998250524202663,0.24991252621013316,7,3
Jun,2.995383158121885,11.682355623299367,54.54545454545454,-1.1383107908630878,0.9690914480593595,0.20128318574904397,0.10064159287452198,6,4
Jul,10.795206378000074,19.67152154988307,72.72727272727273,0.2971475472699552,-0.6700632578470849,0.5042565979765963,0.25212829898829814,8,2
Aug,4.036871334043744,13.53058471999183,54.54545454545454,1.399081029358741,1.3752124288883047,0.2792113521876419,0.13960567609382096,6,4
Sep,-3.9533350281263453,11.279485615097949,9.090909090909092,0.6602588903919088,1.8791341137835547,-0.24017800459895347,-0.12008900229947674,1,8
Oct,-2.59583773584904,18.355615265352437,36.36363636363637,-0.49944773746155446,-0.09432046141301109,-0.2567232343300029,-0.12836161716500144,4,6
Nov,15.699636676103658,11.857587695583826,72.72727272727273,-0.30517717352798385,-1.2617564605415574,0.7193271191094006,0.3596635595547003,8,2
Dec,3.4294489481437966,15.592270375455776,36.36363636363637,0.33725734311844113,-1.4127844172575077,0.12190642651047257,0.06095321325523628,4,6
