Year,Week_Number,Return,Volume,Week,Volatility,Positive_Returns,Kelly_Ratio
2010,1,0.0,,1,0.024729812757590088,0.07142857142857142,-0.4285714285714286
2011,1,0.0,,1,0.024729812757590088,0.07142857142857142,-0.35714285714285715
2012,1,0.0,,1,0.024729812757590088,0.07142857142857142,-0.4285714285714286
2013,1,0.0,,1,0.024729812757590088,0.07142857142857142,-0.4285714285714286
2014,1,0.0,,1,0.024729812757590088,0.07142857142857142,-0.35714285714285715
2015,1,0.0,,1,0.024729812757590088,0.07142857142857142,-0.4285714285714286
2016,1,0.0,,1,0.024729812757590088,0.07142857142857142,-0.4285714285714286
2017,1,0.0,,1,0.024729812757590088,0.07142857142857142,-0.5
2018,1,0.0,,1,0.024729812757590088,0.07142857142857142,-0.4285714285714286
2019,1,0.0,,1,0.024729812757590088,0.07142857142857142,-0.5
2020,1,0.0,,1,0.024729812757590088,0.07142857142857142,-0.35714285714285715
2021,1,0.0,,1,0.024729812757590088,0.07142857142857142,-0.35714285714285715
2022,1,-0.0879320420200338,7694320.0,1,0.024729812757590088,0.07142857142857142,-0.35714285714285715
2023,1,0.022826513361190237,2815725.0,1,0.024729812757590088,0.07142857142857142,-0.5
2010,2,0.0,,2,0.04100354004439089,0.14285714285714285,-0.4285714285714286
2011,2,0.0,,2,0.04100354004439089,0.14285714285714285,-0.5
2012,2,0.0,,2,0.04100354004439089,0.14285714285714285,-0.4285714285714286
2013,2,0.0,,2,0.04100354004439089,0.14285714285714285,-0.4285714285714286
2014,2,0.0,,2,0.04100354004439089,0.14285714285714285,-0.5
2015,2,0.0,,2,0.04100354004439089,0.14285714285714285,-0.4285714285714286
2016,2,0.0,,2,0.04100354004439089,0.14285714285714285,-0.5
2017,2,0.0,,2,0.04100354004439089,0.14285714285714285,-0.35714285714285715
2018,2,0.0,,2,0.04100354004439089,0.14285714285714285,-0.5
2019,2,0.0,,2,0.04100354004439089,0.14285714285714285,-0.4285714285714286
2020,2,0.0,,2,0.04100354004439089,0.14285714285714285,-0.35714285714285715
2021,2,0.0,,2,0.04100354004439089,0.14285714285714285,-0.5
2022,2,0.029297233209318874,8330600.0,2,0.04100354004439089,0.14285714285714285,-0.4285714285714286
2023,2,0.15286842388516075,7504720.0,2,0.04100354004439089,0.14285714285714285,-0.5
2010,3,0.0,,3,0.05064879926501737,0.07142857142857142,-0.4285714285714286
2011,3,0.0,,3,0.05064879926501737,0.07142857142857142,-0.4285714285714286
2012,3,0.0,,3,0.05064879926501737,0.07142857142857142,-0.5
2013,3,0.0,,3,0.05064879926501737,0.07142857142857142,-0.35714285714285715
2014,3,0.0,,3,0.05064879926501737,0.07142857142857142,-0.5
2015,3,0.0,,3,0.05064879926501737,0.07142857142857142,-0.5
2016,3,0.0,,3,0.05064879926501737,0.07142857142857142,-0.5
2017,3,0.0,,3,0.05064879926501737,0.07142857142857142,-0.35714285714285715
2018,3,0.0,,3,0.05064879926501737,0.07142857142857142,-0.4285714285714286
2019,3,0.0,,3,0.05064879926501737,0.07142857142857142,-0.4285714285714286
2020,3,0.0,,3,0.05064879926501737,0.07142857142857142,-0.35714285714285715
2021,3,0.0,,3,0.05064879926501737,0.07142857142857142,-0.4285714285714286
2022,3,-0.11317279481473874,8443150.0,3,0.05064879926501737,0.07142857142857142,-0.5
2023,3,0.1435504942541489,15691075.0,3,0.05064879926501737,0.07142857142857142,-0.35714285714285715
2010,4,0.0,,4,0.0093404905534376,0.07142857142857142,-0.2857142857142857
2011,4,0.0,,4,0.0093404905534376,0.07142857142857142,-0.35714285714285715
2012,4,0.0,,4,0.0093404905534376,0.07142857142857142,-0.35714285714285715
2013,4,0.0,,4,0.0093404905534376,0.07142857142857142,-0.4285714285714286
2014,4,0.0,,4,0.0093404905534376,0.07142857142857142,-0.35714285714285715
2015,4,0.0,,4,0.0093404905534376,0.07142857142857142,-0.35714285714285715
2016,4,0.0,,4,0.0093404905534376,0.07142857142857142,-0.35714285714285715
2017,4,0.0,,4,0.0093404905534376,0.07142857142857142,-0.5
2018,4,0.0,,4,0.0093404905534376,0.07142857142857142,-0.2857142857142857
2019,4,0.0,,4,0.0093404905534376,0.07142857142857142,-0.5
2020,4,0.0,,4,0.0093404905534376,0.07142857142857142,-0.5
2021,4,0.0,,4,0.0093404905534376,0.07142857142857142,
2022,4,-0.01049580571112263,13969440.0,4,0.0093404905534376,0.07142857142857142,
2023,4,0.032538043825063756,9094700.0,4,0.0093404905534376,0.07142857142857142,
2010,5,0.0,,5,0.02137929962140786,0.14285714285714285,
2011,5,0.0,,5,0.02137929962140786,0.14285714285714285,
2012,5,0.0,,5,0.02137929962140786,0.14285714285714285,
2013,5,0.0,,5,0.02137929962140786,0.14285714285714285,
2014,5,0.0,,5,0.02137929962140786,0.14285714285714285,
2015,5,0.0,,5,0.02137929962140786,0.14285714285714285,
2016,5,0.0,,5,0.02137929962140786,0.14285714285714285,
2017,5,0.0,,5,0.02137929962140786,0.14285714285714285,
2018,5,0.0,,5,0.02137929962140786,0.14285714285714285,
2019,5,0.0,,5,0.02137929962140786,0.14285714285714285,
2020,5,0.0,,5,0.02137929962140786,0.14285714285714285,
2021,5,0.0,,5,0.02137929962140786,0.14285714285714285,
2022,5,0.0801499068817253,6310520.0,5,0.02137929962140786,0.14285714285714285,
2023,5,0.009777390493508675,10200960.0,5,0.02137929962140786,0.14285714285714285,
2010,6,0.0,,6,0.024510114489344037,0.07142857142857142,
2011,6,0.0,,6,0.024510114489344037,0.07142857142857142,
2012,6,0.0,,6,0.024510114489344037,0.07142857142857142,
2013,6,0.0,,6,0.024510114489344037,0.07142857142857142,
2014,6,0.0,,6,0.024510114489344037,0.07142857142857142,
2015,6,0.0,,6,0.024510114489344037,0.07142857142857142,
2016,6,0.0,,6,0.024510114489344037,0.07142857142857142,
2017,6,0.0,,6,0.024510114489344037,0.07142857142857142,
2018,6,0.0,,6,0.024510114489344037,0.07142857142857142,
2019,6,0.0,,6,0.024510114489344037,0.07142857142857142,
2020,6,0.0,,6,0.024510114489344037,0.07142857142857142,
2021,6,0.0,,6,0.024510114489344037,0.07142857142857142,
2022,6,0.04649662597808446,8165940.0,6,0.024510114489344037,0.07142857142857142,
