Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,3.575548253177428,42.83528921353105,25.0,0.9077053288171352,-0.9018414361461602,-0.04279645972625157,-0.021398229863125784,1,2
Feb,17.491908543791123,27.985729592779467,75.0,1.0483329529547134,-0.7616399533852594,,,3,0
Mar,8.497778947780208,14.649249612996616,50.0,1.085501673427272,-0.7265686692833637,0.48616066238064504,0.24308033119032252,2,1
Apr,-21.027246421357155,16.645648618322483,0.0,0.14604278334674808,-1.0124180608308881,,,0,3
May,-6.204323875052518,22.884370986683024,50.0,-0.07488613959392168,-1.8440366263127437,-0.46970444745400064,-0.23485222372700032,2,2
Jun,-4.827702691891025,24.28486061818317,50.0,-0.8922095113087416,-0.8649204658821037,-0.4365476336214199,-0.21827381681070995,2,2
Jul,16.51944146014306,22.601575685131856,75.0,-0.04041061492885528,-1.90743024636798,0.6818829843406342,0.3409414921703171,3,1
Aug,-5.4940854994175226,15.40404453600288,50.0,0.02182007920235686,-1.9653681930229605,-0.7054631382303451,-0.35273156911517256,2,2
Sep,-5.326591277920397,5.1256969378163335,0.0,-0.4655032071535659,-1.0617113505581868,,,0,3
Oct,11.465740018767512,19.34331463249038,75.0,1.1392307475854215,-0.6778159121138385,,,3,0
Nov,7.341159930187359,38.96712730001392,25.0,0.6733570065104566,-0.8970984502561925,0.053408705502464016,0.026704352751232008,1,2
Dec,-0.7612894415047133,28.638125825903685,25.0,0.7798784525370319,-1.0338018743713089,-0.15394756889121164,-0.07697378444560582,1,2
