Year,Week_Number,Return,Volume,Week,Volatility,Positive_Returns,Kelly_Ratio
2010,1,-0.0011600309783317275,42268200.0,1,0.03881114526889587,0.6428571428571429,0.1428571428571429
2011,1,0.0361205258548567,60708400.0,1,0.03881114526889587,0.6428571428571429,0.2142857142857143
2012,1,0.05607170651226334,38442960.0,1,0.03881114526889587,0.6428571428571429,0.0
2013,1,0.060524342620506655,37647800.0,1,0.03881114526889587,0.6428571428571429,0.0714285714285714
2014,1,-0.03126348422040326,26223440.0,1,0.03881114526889587,0.6428571428571429,0.0
2015,1,-0.0007238821074376789,22926500.0,1,0.03881114526889587,0.6428571428571429,0.0
2016,1,-0.08309298259948128,32099380.0,1,0.03881114526889587,0.6428571428571429,0.2142857142857143
2017,1,0.008958561651003838,19736825.0,1,0.03881114526889587,0.6428571428571429,-0.2857142857142857
2018,1,0.052370662133140344,23114500.0,1,0.03881114526889587,0.6428571428571429,0.0
2019,1,0.003913774874302445,21595280.0,1,0.03881114526889587,0.6428571428571429,-0.07142857142857145
2020,1,0.0006976718495560474,16142750.0,1,0.03881114526889587,0.6428571428571429,0.0714285714285714
2021,1,0.015154710335528065,20626880.0,1,0.03881114526889587,0.6428571428571429,0.0
2022,1,-0.029612504996998523,23390740.0,1,0.03881114526889587,0.6428571428571429,0.1428571428571429
2023,1,0.022713268078393245,18563450.0,1,0.03881114526889587,0.6428571428571429,0.0
2010,2,-0.009979876179810776,43853480.0,2,0.018039676145424382,0.7142857142857143,0.0714285714285714
2011,2,0.011512728809572215,37970540.0,2,0.018039676145424382,0.7142857142857143,0.1428571428571429
2012,2,0.011226967474758376,35805480.0,2,0.018039676145424382,0.7142857142857143,0.0714285714285714
2013,2,6.948790608751754e-05,29846380.0,2,0.018039676145424382,0.7142857142857143,0.0
2014,2,0.011010740065050983,34398880.0,2,0.018039676145424382,0.7142857142857143,0.1428571428571429
2015,2,0.00682242336743788,35771120.0,2,0.018039676145424382,0.7142857142857143,0.0
2016,2,-0.04638072975398322,40579220.0,2,0.018039676145424382,0.7142857142857143,0.0714285714285714
2017,2,-0.005247433770482202,19252560.0,2,0.018039676145424382,0.7142857142857143,0.1428571428571429
2018,2,0.033617974398165384,20592180.0,2,0.018039676145424382,0.7142857142857143,-0.07142857142857145
2019,2,0.013282410337189132,20971100.0,2,0.018039676145424382,0.7142857142857143,-0.14285714285714285
2020,2,-0.01050834720725946,19113520.0,2,0.018039676145424382,0.7142857142857143,0.1428571428571429
2021,2,0.008318786724495042,23435140.0,2,0.018039676145424382,0.7142857142857143,-0.07142857142857145
2022,2,0.003918741099575462,18925680.0,2,0.018039676145424382,0.7142857142857143,0.0714285714285714
2023,2,0.011593867473515873,13166860.0,2,0.018039676145424382,0.7142857142857143,0.0
2010,3,-0.05899808469899814,51231175.0,3,0.03752266952426451,0.5,0.3571428571428571
2011,3,-0.02270602879563366,48426850.0,3,0.03752266952426451,0.5,-0.14285714285714285
2012,3,0.044390507750689645,47876275.0,3,0.03752266952426451,0.5,0.2142857142857143
2013,3,0.026323283110812334,41835860.0,3,0.03752266952426451,0.5,0.0714285714285714
2014,3,0.023318696565701513,49787160.0,3,0.03752266952426451,0.5,0.0
2015,3,-0.0036830884871595915,32078640.0,3,0.03752266952426451,0.5,0.0714285714285714
2016,3,-0.009570298872253025,59370700.0,3,0.03752266952426451,0.5,0.1428571428571429
2017,3,0.0010110938786731527,19331975.0,3,0.03752266952426451,0.5,-0.07142857142857145
2018,3,0.010391230484001812,25366075.0,3,0.03752266952426451,0.5,0.1428571428571429
2019,3,0.03517915529839166,18898580.0,3,0.03752266952426451,0.5,-0.07142857142857145
2020,3,0.03972459157336705,19949320.0,3,0.03752266952426451,0.5,-0.07142857142857145
2021,3,-0.014573360975642213,19375000.0,3,0.03752266952426451,0.5,0.1428571428571429
2022,3,-0.07848710886960508,23630050.0,3,0.03752266952426451,0.5,0.0
2023,3,-0.04340316261573196,20034700.0,3,0.03752266952426451,0.5,-0.07142857142857145
2010,4,-0.02156123503307006,59091280.0,4,0.021086324983680307,0.5714285714285714,0.0714285714285714
2011,4,0.010278267989574208,53137500.0,4,0.021086324983680307,0.5714285714285714,0.1428571428571429
2012,4,-0.018133258420020115,39680940.0,4,0.021086324983680307,0.5714285714285714,0.0714285714285714
2013,4,0.0064681140810013416,37174075.0,4,0.021086324983680307,0.5714285714285714,-0.14285714285714285
2014,4,-0.023820539492562243,35513500.0,4,0.021086324983680307,0.5714285714285714,0.0
2015,4,0.019427289657936386,33569975.0,4,0.021086324983680307,0.5714285714285714,0.2142857142857143
2016,4,0.01872052341072239,37081680.0,4,0.021086324983680307,0.5714285714285714,0.1428571428571429
2017,4,0.028927720320877315,20859740.0,4,0.021086324983680307,0.5714285714285714,-0.07142857142857145
2018,4,0.030534169223344954,23252740.0,4,0.021086324983680307,0.5714285714285714,0.2857142857142857
2019,4,0.024334082242062682,21916500.0,4,0.021086324983680307,0.5714285714285714,0.1428571428571429
2020,4,-0.0034429088002998487,16948050.0,4,0.021086324983680307,0.5714285714285714,0.0
2021,4,-0.004003051585960704,20615540.0,4,0.021086324983680307,0.5714285714285714,
2022,4,-0.018610594894973964,28982640.0,4,0.021086324983680307,0.5714285714285714,
2023,4,0.03649317277488673,14211880.0,4,0.021086324983680307,0.5714285714285714,
2010,5,0.05371900054380441,82755540.0,5,0.04323807304091897,0.5,
2011,5,0.05243128350143955,47266960.0,5,0.04323807304091897,0.5,
2012,5,0.026881437423985854,43997080.0,5,0.04323807304091897,0.5,
2013,5,-0.015021013017729068,31347720.0,5,0.04323807304091897,0.5,
2014,5,-0.012912824984653293,44711320.0,5,0.04323807304091897,0.5,
2015,5,-0.06604304597034905,32675360.0,5,0.04323807304091897,0.5,
2016,5,-0.03745261879724571,30872600.0,5,0.04323807304091897,0.5,
2017,5,0.01121395521305002,20067000.0,5,0.04323807304091897,0.5,
2018,5,-0.038606535181054724,28500920.0,5,0.04323807304091897,0.5,
2019,5,0.02614545776320787,18211240.0,5,0.04323807304091897,0.5,
2020,5,-0.059847819108902356,16773440.0,5,0.04323807304091897,0.5,
2021,5,0.07645778462973774,18849140.0,5,0.04323807304091897,0.5,
2022,5,-0.008036497567180612,22923380.0,5,0.04323807304091897,0.5,
2023,5,0.002750916948861648,18317340.0,5,0.04323807304091897,0.5,
2010,6,0.0027667871478656014,55945640.0,6,0.05552105745492484,0.5,
2011,6,-0.15363778513996573,200072820.0,6,0.05552105745492484,0.5,
2012,6,-0.00918875367327543,76837180.0,6,0.05552105745492484,0.5,
2013,6,0.015822209447021507,28470820.0,6,0.05552105745492484,0.5,
2014,6,0.034633489584087074,51460940.0,6,0.05552105745492484,0.5,
2015,6,0.03301976439756105,26237680.0,6,0.05552105745492484,0.5,
2016,6,0.09717992990315916,49791000.0,6,0.05552105745492484,0.5,
2017,6,0.006103309099891652,19178660.0,6,0.05552105745492484,0.5,
2018,6,-0.03176982689537777,46909660.0,6,0.05552105745492484,0.5,
2019,6,-0.0029699755778405112,17917640.0,6,0.05552105745492484,0.5,
2020,6,0.04320339331207523,14597360.0,6,0.05552105745492484,0.5,
2021,6,-0.015981040446829686,25676200.0,6,0.05552105745492484,0.5,
2022,6,-0.022294000377253154,17733980.0,6,0.05552105745492484,0.5,
2023,6,-0.028072051248076102,17113600.0,6,0.05552105745492484,0.5,
2010,7,0.02503655030889207,43800075.0,7,0.04376394541605306,0.7142857142857143,
2011,7,0.008101434333257607,96058820.0,7,0.04376394541605306,0.7142857142857143,
2012,7,0.019574273312314427,44793900.0,7,0.04376394541605306,0.7142857142857143,
2013,7,-0.007894647202533744,51047200.0,7,0.04376394541605306,0.7142857142857143,
2014,7,-0.004394490863860567,75838120.0,7,0.04376394541605306,0.7142857142857143,
2015,7,0.0817960637221179,52048120.0,7,0.04376394541605306,0.7142857142857143,
2016,7,0.05647245222678987,34346575.0,7,0.04376394541605306,0.7142857142857143,
2017,7,0.06895069175253865,36227320.0,7,0.04376394541605306,0.7142857142857143,
2018,7,0.11639498646616309,44916140.0,7,0.04376394541605306,0.7142857142857143,
2019,7,0.04686465047385624,29877320.0,7,0.04376394541605306,0.7142857142857143,
2020,7,-0.019304355305493792,29531820.0,7,0.04376394541605306,0.7142857142857143,
2021,7,-0.03438056983965354,18455125.0,7,0.04376394541605306,0.7142857142857143,
2022,7,0.06060845256952696,25689200.0,7,0.04376394541605306,0.7142857142857143,
2023,7,0.07318635706065502,27814880.0,7,0.04376394541605306,0.7142857142857143,
2010,8,-0.001104251539366441,33734960.0,8,0.01572506098976749,0.21428571428571427,
2011,8,-0.010937122902163754,71303275.0,8,0.01572506098976749,0.21428571428571427,
2012,8,-0.007319851200578764,33667650.0,8,0.01572506098976749,0.21428571428571427,
2013,8,-0.003754109546408868,36643900.0,8,0.01572506098976749,0.21428571428571427,
2014,8,-0.01917585886031714,29505375.0,8,0.01572506098976749,0.21428571428571427,
2015,8,0.006195261037482358,26546075.0,8,0.01572506098976749,0.21428571428571427,
2016,8,-0.004985801676393065,22486900.0,8,0.01572506098976749,0.21428571428571427,
2017,8,0.017146152445679297,23053200.0,8,0.01572506098976749,0.21428571428571427,
2018,8,-0.006970456415764437,27293775.0,8,0.01572506098976749,0.21428571428571427,
2019,8,0.013782433324440069,19221025.0,8,0.01572506098976749,0.21428571428571427,
2020,8,-0.014171350126058968,21654525.0,8,0.01572506098976749,0.21428571428571427,
2021,8,-0.017747332741209654,20607180.0,8,0.01572506098976749,0.21428571428571427,
2022,8,-0.019680889270593305,23481250.0,8,0.01572506098976749,0.21428571428571427,
2023,8,-0.04578220430763569,19180050.0,8,0.01572506098976749,0.21428571428571427,
2010,9,0.03569920732955123,48238820.0,9,0.043846592659274736,0.5,
2011,9,-0.012918544374939445,60412220.0,9,0.043846592659274736,0.5,
2012,9,-0.018901068098052587,37669600.0,9,0.043846592659274736,0.5,
2013,9,-0.0031915235443319423,30269860.0,9,0.043846592659274736,0.5,
2014,9,-0.014919803840337309,39480680.0,9,0.043846592659274736,0.5,
2015,9,-0.0031806381472506695,23463020.0,9,0.043846592659274736,0.5,
2016,9,0.015008155315782812,21492140.0,9,0.043846592659274736,0.5,
2017,9,-0.0008364053771570124,18357080.0,9,0.043846592659274736,0.5,
2018,9,0.0021329810365185997,28615600.0,9,0.043846592659274736,0.5,
2019,9,0.025794939653022375,23595980.0,9,0.043846592659274736,0.5,
2020,9,-0.1449147848261898,50692940.0,9,0.043846592659274736,0.5,
2021,9,0.03141871168134347,21385860.0,9,0.043846592659274736,0.5,
2022,9,0.008995992691533727,18770380.0,9,0.043846592659274736,0.5,
2023,9,0.016527894760484774,15819960.0,9,0.043846592659274736,0.5,
2010,10,0.026943374747041227,83046860.0,10,0.02772889058096453,0.42857142857142855,
2011,10,-0.024622649196748725,62245580.0,10,0.02772889058096453,0.42857142857142855,
2012,10,0.002195015088794161,33278980.0,10,0.02772889058096453,0.42857142857142855,
2013,10,0.04744514106681774,32529860.0,10,0.02772889058096453,0.42857142857142855,
2014,10,-0.003079418309427706,31583440.0,10,0.02772889058096453,0.42857142857142855,
2015,10,-0.019247267002676205,29371820.0,10,0.02772889058096453,0.42857142857142855,
2016,10,0.0392735535351344,27882400.0,10,0.02772889058096453,0.42857142857142855,
2017,10,-0.0008406634226735266,18770820.0,10,0.02772889058096453,0.42857142857142855,
2018,10,0.02963920223661065,21716520.0,10,0.02772889058096453,0.42857142857142855,
2019,10,-0.006557686982056943,18759680.0,10,0.02772889058096453,0.42857142857142855,
2020,10,-0.0038687603607830967,41408520.0,10,0.02772889058096453,0.42857142857142855,
2021,10,0.05456481733343699,23670360.0,10,0.02772889058096453,0.42857142857142855,
2022,10,-0.03174943688407883,20605080.0,10,0.02772889058096453,0.42857142857142855,
2023,10,-0.014620334479274799,14455280.0,10,0.02772889058096453,0.42857142857142855,
2010,11,0.010451420367462716,41170520.0,11,0.025786484935666838,0.5714285714285714,
2011,11,-0.04558997910325613,88832200.0,11,0.025786484935666838,0.5714285714285714,
2012,11,0.01186391885680027,42443160.0,11,0.025786484935666838,0.5714285714285714,
2013,11,0.004744938031842283,37115860.0,11,0.025786484935666838,0.5714285714285714,
2014,11,-0.017459598389090836,34612180.0,11,0.025786484935666838,0.5714285714285714,
2015,11,-0.03426591636121146,26839980.0,11,0.025786484935666838,0.5714285714285714,
2016,11,0.01685187952505185,25186200.0,11,0.025786484935666838,0.5714285714285714,
2017,11,-0.0008585293340925837,17402740.0,11,0.025786484935666838,0.5714285714285714,
2018,11,-0.007892616028669863,28500300.0,11,0.025786484935666838,0.5714285714285714,
2019,11,0.04108514259399998,24159840.0,11,0.025786484935666838,0.5714285714285714,
2020,11,-0.033275809775104914,56276200.0,11,0.025786484935666838,0.5714285714285714,
2021,11,0.00345728127782563,26983300.0,11,0.025786484935666838,0.5714285714285714,
2022,11,0.023476671974025698,25853220.0,11,0.025786484935666838,0.5714285714285714,
2023,11,0.033338237342401156,24876620.0,11,0.025786484935666838,0.5714285714285714,
2010,12,0.012294978346221508,37743660.0,12,0.034524886013635174,0.5,
2011,12,0.008363679905407873,56900180.0,12,0.034524886013635174,0.5,
2012,12,0.024945811369019633,38185940.0,12,0.034524886013635174,0.5,
2013,12,-0.05442805654259453,37279720.0,12,0.034524886013635174,0.5,
2014,12,0.013615636580507795,48814300.0,12,0.034524886013635174,0.5,
2015,12,0.01786121932177065,29554920.0,12,0.034524886013635174,0.5,
2016,12,-0.012990022645904542,20621975.0,12,0.034524886013635174,0.5,
2017,12,-0.00428630984056122,17572120.0,12,0.034524886013635174,0.5,
2018,12,-0.05861065977384239,26670400.0,12,0.034524886013635174,0.5,
2019,12,-0.008327864931057305,20966440.0,12,0.034524886013635174,0.5,
2020,12,-0.045735459132133505,49918040.0,12,0.034524886013635174,0.5,
2021,12,0.0720910586314103,30024300.0,12,0.034524886013635174,0.5,
2022,12,-0.017524552467435894,23369340.0,12,0.034524886013635174,0.5,
2023,12,0.006906393324435656,20929460.0,12,0.034524886013635174,0.5,
2010,13,-0.024155889481813353,43575625.0,13,0.03404597970959869,0.6428571428571429,
2011,13,-0.010219738257670197,61716440.0,13,0.03404597970959869,0.6428571428571429,
2012,13,0.029923043200731914,37121280.0,13,0.03404597970959869,0.6428571428571429,
2013,13,0.007220259136436757,30035250.0,13,0.03404597970959869,0.6428571428571429,
2014,13,0.032204846233476525,50939400.0,13,0.03404597970959869,0.6428571428571429,
2015,13,-0.04676974080783669,28658700.0,13,0.03404597970959869,0.6428571428571429,
2016,13,0.025912684928196428,18143880.0,13,0.03404597970959869,0.6428571428571429,
2017,13,-0.008210603049851217,16452820.0,13,0.03404597970959869,0.6428571428571429,
2018,13,0.012966089658442925,38097975.0,13,0.03404597970959869,0.6428571428571429,
2019,13,0.02354873482914932,17928480.0,13,0.03404597970959869,0.6428571428571429,
2020,13,0.0973025028316108,40136960.0,13,0.03404597970959869,0.6428571428571429,
2021,13,-0.011168928154541624,21901625.0,13,0.03404597970959869,0.6428571428571429,
2022,13,0.01256311593663817,19675860.0,13,0.03404597970959869,0.6428571428571429,
2023,13,0.03471380630490417,15557660.0,13,0.03404597970959869,0.6428571428571429,
2010,14,0.029549371779246547,36599620.0,14,0.02646103767869832,0.5,
2011,14,0.03654245437653103,107980960.0,14,0.02646103767869832,0.5,
2012,14,-0.040816973224692354,42320800.0,14,0.02646103767869832,0.5,
2013,14,-0.0055304147630175216,36810180.0,14,0.02646103767869832,0.5,
2014,14,0.026297235779867312,46210280.0,14,0.02646103767869832,0.5,
2015,14,0.00787254095371459,25065575.0,14,0.02646103767869832,0.5,
2016,14,-0.025897323659925697,18808780.0,14,0.02646103767869832,0.5,
2017,14,-0.01637905738487566,16960500.0,14,0.02646103767869832,0.5,
2018,14,-0.04217239897066072,31290720.0,14,0.02646103767869832,0.5,
2019,14,0.02886096575658792,17669140.0,14,0.02646103767869832,0.5,
2020,14,0.01826304210891505,25868180.0,14,0.02646103767869832,0.5,
2021,14,0.009424935414381719,15803540.0,14,0.02646103767869832,0.5,
2022,14,-0.018138543048268674,17844820.0,14,0.02646103767869832,0.5,
2023,14,-0.011965979560599638,14757850.0,14,0.02646103767869832,0.5,
2010,15,0.014441213809418874,46277660.0,15,0.03402267852696405,0.5714285714285714,
2011,15,-0.03560139741930146,64824700.0,15,0.03402267852696405,0.5714285714285714,
2012,15,-0.017828947023298736,34373120.0,15,0.03402267852696405,0.5714285714285714,
2013,15,0.04467995953606585,31476600.0,15,0.03402267852696405,0.5714285714285714,
