Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,-25.689588720070894,18.28134783544529,0.0,0.7717663104135897,-1.003309990838935,,,0,3
Feb,9.270859312490309,6.177757900956768,100.0,0.11663927268584605,-1.7903868934000304,,,4,0
Mar,4.114604104633578,38.45253540601967,25.0,1.1450542257236298,-0.6738243975641556,0.06667250218124596,0.03333625109062298,1,3
Apr,-20.54317225474384,17.31151112065799,25.0,0.7300694981769017,-0.9303844639883438,-5.468592626617967,-2.7342963133089837,1,3
May,33.42358252099514,26.194203328928577,100.0,0.6526878163951819,-0.9871074509017932,,,4,0
Jun,27.28193710218136,36.20021473775562,75.0,-1.0209568191280687,-0.7707161827556912,0.6059828803411337,0.30299144017056684,3,1
Jul,8.467513143629622,33.52682091246869,50.0,0.1816133836579999,-1.3488484274062595,0.24620084555318628,0.12310042277659314,2,2
Aug,-2.4427580592882876,47.6838632242727,25.0,0.8967174067951077,-0.9131248756413339,-0.03697446860551962,-0.01848723430275981,1,3
Sep,-1.1004132797981039,16.690515466020514,25.0,0.5935964024131398,-1.0718118804619055,-0.2012920521768259,-0.10064602608841294,1,2
Oct,3.4176068298964797,28.187489327233667,50.0,0.23829808682160014,-0.9943340551363096,-0.17965752446694616,-0.08982876223347308,2,1
Nov,6.49389326457886,28.469042432179233,50.0,-0.4835564138522191,-1.3037566953550062,-0.04282991914848422,-0.02141495957424211,2,1
Dec,-3.408250858722728,14.531255115392451,25.0,-0.2446788007554747,-1.0529630048323646,-0.5153032701458008,-0.2576516350729004,1,2
