Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,18.86257961079798,36.36420132272354,62.5,0.24410658336734203,-1.1125825378415686,0.40333990899005506,0.20166995449502753,5,2
Feb,11.267128481743697,20.97783410733041,75.0,0.07413867384344343,-0.38259559775327645,0.4395133114764178,0.2197566557382089,6,1
Mar,-2.3608999625682436,29.427104701506973,62.5,-0.73059791725169,-0.6177074004453673,-0.5518187006811626,-0.2759093503405813,5,2
Apr,19.039574430525207,33.210469234769015,62.5,0.3485156051461156,-1.3885041800884514,0.4529860956708668,0.2264930478354334,5,2
May,7.0666274646102085,28.381916861568257,37.5,0.9790771351963965,0.39464938773652314,0.16755210605434986,0.08377605302717493,3,4
Jun,-10.202099182967101,17.19688169956348,25.0,-1.0034027258473543,0.09549894091090749,-2.1655287286192717,-1.0827643643096359,2,5
Jul,10.302321838447254,29.41705072172661,37.5,0.7608235848050332,-0.8421804988666501,0.22359530879166437,0.11179765439583218,3,4
Aug,-4.469879767322193,24.198438824035755,25.0,0.5718514688980516,-0.9061921212750557,-0.22501489135536595,-0.11250744567768298,2,5
Sep,-7.457727995920678,9.017378463462904,25.0,0.06670303606528652,-1.7018103230951076,-3.1132779450813453,-1.5566389725406726,2,5
Oct,8.05360033151526,17.00835670778999,62.5,0.9127454281614994,0.4767917063730849,0.26648314016376834,0.13324157008188417,5,1
Nov,0.3359204046232227,29.617681146669252,37.5,0.6715120462636676,0.2932789466182921,-0.229017675689971,-0.1145088378449855,3,3
Dec,9.38667131823367,28.378092656070052,50.0,1.13162464241893,0.5501923106844258,0.25670703936974937,0.12835351968487468,4,3
