Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,3.5994685387739747,5.835050159763803,72.72727272727273,0.004257404364491992,-0.798568584156444,0.5301341835343796,0.2650670917671898,8,2
Feb,-0.9814532812555835,5.779361515111947,36.36363636363637,0.46922139317015005,-0.4412036036904383,-0.3096998097747803,-0.15484990488739014,4,6
Mar,1.7856939418085829,7.508505150725956,63.63636363636363,-0.2521614066320908,0.12274873484046145,0.20102696242410462,0.10051348121205231,7,3
Apr,2.20425970565649,9.674714915830458,54.54545454545454,-0.5059395593521145,-0.09189784980440141,0.1799521049901308,0.0899760524950654,6,4
May,3.539330559532377,5.932303955575165,63.63636363636363,-0.08003313287389012,-0.1815059278562079,0.48219290670236026,0.24109645335118013,7,3
Jun,-0.98934310205882,3.788450831388779,27.27272727272727,0.32057712201734256,-0.8855484376162508,-0.32226819397161244,-0.16113409698580622,3,7
Jul,7.654854319662643,7.403945186267952,81.81818181818183,-0.01258958188129033,-0.12677553983994505,0.7123083415871903,0.3561541707935951,9,1
Aug,0.47876901823573337,4.787781308743135,45.45454545454545,0.4729293860613079,-0.3047028926941584,0.04641281900287403,0.023206409501437014,5,5
Sep,-2.7593109257708095,4.9531168704355615,27.27272727272727,-0.695255691767447,-0.9176822407511236,-1.8415247922178584,-0.9207623961089292,3,6
Oct,2.447097717647013,7.592797822213272,54.54545454545454,0.20063708045154027,-0.8792428459698312,0.25889745357936206,0.12944872678968103,6,4
Nov,1.7875661688002182,4.531193828334766,63.63636363636363,0.01348739680820165,-1.2684590176117405,0.3204749790138921,0.16023748950694605,7,3
Dec,-0.540213308044112,5.037917551767665,54.54545454545454,-1.3379291583104975,1.0581919330078842,-0.38994798603759684,-0.19497399301879842,6,4
