Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,-0.6374380771545005,8.070054354514006,54.54545454545454,-0.2558180007354285,-1.0444363766466145,-0.28874989133983553,-0.14437494566991776,6,4
Feb,-0.1644671901720482,7.617807558458651,45.45454545454545,0.06404465823643002,-0.3891361469076293,-0.12624184436438607,-0.06312092218219303,5,5
Mar,4.581383790112577,9.726321253539343,63.63636363636363,1.9218581019610685,3.233262015091791,0.5097930014687051,0.25489650073435255,7,3
Apr,-5.0175007165512415,10.756370963395502,27.27272727272727,-1.0939304189131724,1.3685766772744978,-1.174992318206356,-0.587496159103178,3,7
May,1.66138719053675,5.616409160015767,72.72727272727273,-1.6892484091032773,2.6177405503362694,0.26801598098905083,0.13400799049452541,8,2
Jun,-2.8525785203243545,7.727260424016613,36.36363636363637,-0.13549844683686102,-1.0241152723565587,-0.7511619727181201,-0.37558098635906007,4,6
Jul,-1.1195138115326768,7.76189414719512,36.36363636363637,-1.2535966593279566,1.3752992745216597,-0.2785241625737197,-0.13926208128685985,4,6
Aug,-3.0206626904188996,9.525297121786847,36.36363636363637,-1.7206056051384786,2.3379108035506135,-1.082705097406838,-0.541352548703419,4,6
Sep,0.708519050089534,7.6472229111882015,54.54545454545454,-1.5960024674679056,2.410243379626336,-0.13402547429367473,-0.06701273714683736,6,3
Oct,1.923555274451634,10.182422604771034,45.45454545454545,0.11970573291704296,-0.8919913460885787,0.12086277948356211,0.060431389741781055,5,5
Nov,5.757627918891417,6.878809803643199,81.81818181818183,1.419423120604442,1.465643910599331,0.7966440115315908,0.3983220057657954,9,1
Dec,0.933735188144156,6.2588783608344345,54.54545454545454,-0.34997586298651767,0.43873077089925916,0.0917457743339285,0.04587288716696425,6,4
