Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,-0.2993767877106812,2.271181846381692,40.0,-0.3846207597178436,-1.3143027574859398,-0.4508047773914605,-0.22540238869573026,2,2
Feb,-0.08836323515175382,1.770906967950561,40.0,0.17625316848618558,-1.1118446078820057,-0.2872405774865967,-0.14362028874329835,2,2
Mar,2.8222186702535934,2.3198232300272057,80.0,0.47280355837879523,-0.6366908166458827,,,4,0
Apr,-0.30685757531735414,2.8549735141958728,40.0,-0.12771052695689383,-1.6793059923392046,-0.38818443030342,-0.19409221515171,2,2
May,0.4302231092928799,1.5843987402939543,40.0,-0.17359659180525486,-1.2559427862717802,0.12588275363604234,0.06294137681802117,2,2
Jun,0.18682901874214286,2.54403104386329,60.0,-0.49151466267905947,-0.7885041213697708,0.1100315263397264,0.0550157631698632,3,2
Jul,3.2955359520714866,1.7233999302062184,100.0,0.3766930834177941,-1.6307095119029371,,,5,0
Aug,0.8080799673469086,2.360297722624746,60.0,-0.8473854915781062,-0.7548387922288162,0.09438721851909815,0.047193609259549074,3,1
Sep,-2.8630603813442557,2.571666806666056,0.0,-0.19006099891700676,-1.3091500888396368,,,0,4
Oct,1.9185867706246928,3.951519430764773,40.0,0.5605771678117263,-1.3831731438935442,0.2754142272737556,0.1377071136368778,2,2
Nov,3.0932578738939953,3.770751523420109,60.0,-0.27918089624393716,-1.5405595525192222,0.4815134193688594,0.2407567096844297,3,1
Dec,1.6783731972951887,2.900224667250114,60.0,0.17593649659002336,-0.9665338212804113,0.37233060708378335,0.18616530354189167,3,1
