Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,13.593112357863516,47.46493299158253,45.45454545454545,1.3074691776189389,0.2316107249162136,0.2462443694879307,0.12312218474396534,5,5
Feb,12.419745760848796,34.56531180726593,45.45454545454545,0.8008022693675436,-0.2215840708605641,0.2696815024203357,0.13484075121016784,5,5
Mar,-8.44712935294916,31.36222272855018,27.27272727272727,0.707269333257514,0.1323718352614418,-0.3525894304558309,-0.17629471522791546,3,7
Apr,-3.2292744473731148,33.64557300173366,27.27272727272727,0.5296800304401246,-0.5089484052985558,-0.19953306982076846,-0.09976653491038423,3,6
May,-3.995768897580835,34.87227031160074,27.27272727272727,0.42293981874061787,-0.6836629303716979,-0.14698603831429335,-0.07349301915714668,3,7
Jun,4.4891946638884175,35.52998806859344,63.63636363636363,0.002741398365963038,-0.8912796354729684,0.029754786844070957,0.014877393422035479,7,3
Jul,23.516454121318212,56.352529932617344,54.54545454545454,1.4133283445065636,0.44966413525954696,0.4189459725581037,0.20947298627905184,6,4
Aug,0.5256366617689611,25.611469622319575,27.27272727272727,0.808945164483461,-0.6879922633087925,-0.022726402878298302,-0.011363201439149151,3,7
Sep,-11.767906902737291,12.611363714466991,9.090909090909092,-0.21654370071234832,-1.4043918270692788,-3.0934137540057307,-1.5467068770028654,1,8
Oct,0.8050752237835872,25.57880391498117,36.36363636363637,1.5316408107981054,1.7355730586322,-0.02365709387922288,-0.01182854693961144,4,6
Nov,31.272865881166926,77.08000526425928,54.54545454545454,1.354922603740101,0.37823783472423544,0.4208251572463245,0.21041257862316226,6,4
Dec,0.5249688048308472,44.73627057247434,27.27272727272727,1.0610226674392784,0.10983733551251973,-0.028687686342090235,-0.014343843171045118,3,7
