Year,Week_Number,Return,Volume,Week,Volatility,Positive_Returns,Kelly_Ratio
2010,1,0.05088377257283305,933217.0,1,0.025107636798474817,0.42857142857142855,-0.07142857142857145
2011,1,-0.01116740003993888,704608.4,1,0.025107636798474817,0.42857142857142855,0.1428571428571429
2012,1,-0.0030281034326257172,946034.2,1,0.025107636798474817,0.42857142857142855,0.2142857142857143
2013,1,0.018501359891176294,1518031.0,1,0.025107636798474817,0.42857142857142855,0.2857142857142857
2014,1,-0.018210303613164114,1420981.4,1,0.025107636798474817,0.42857142857142855,0.2142857142857143
2015,1,0.0190735086411431,1265129.0,1,0.025107636798474817,0.42857142857142855,0.0
2016,1,-0.008460261120914914,1954979.4,1,0.025107636798474817,0.42857142857142855,0.0714285714285714
2017,1,0.04070463066034846,2042121.75,1,0.025107636798474817,0.42857142857142855,0.0714285714285714
2018,1,-0.033403081460443795,1698671.8,1,0.025107636798474817,0.42857142857142855,-0.2857142857142857
2019,1,-0.0007206823758058034,2171906.0,1,0.025107636798474817,0.42857142857142855,0.0714285714285714
2020,1,0.002455084303545685,1943875.0,1,0.025107636798474817,0.42857142857142855,0.2857142857142857
2021,1,-0.038933502945960985,3729028.8,1,0.025107636798474817,0.42857142857142855,0.0
2022,1,-0.0022513832082677876,3147500.0,1,0.025107636798474817,0.42857142857142855,0.2857142857142857
2023,1,0.010531538888725156,4103850.0,1,0.025107636798474817,0.42857142857142855,0.0714285714285714
2010,2,0.0015654059347938176,708509.4,2,0.024127053298406583,0.6428571428571429,0.1428571428571429
2011,2,-0.002942893407264835,529911.4,2,0.024127053298406583,0.6428571428571429,0.1428571428571429
2012,2,0.02507904788150328,656785.4,2,0.024127053298406583,0.6428571428571429,0.1428571428571429
2013,2,0.03746317584700143,2147571.4,2,0.024127053298406583,0.6428571428571429,0.0
2014,2,0.02206753018846086,1995846.6,2,0.024127053298406583,0.6428571428571429,0.1428571428571429
2015,2,0.0354168854164042,2677503.4,2,0.024127053298406583,0.6428571428571429,0.0
2016,2,0.02006575357351581,2845038.2,2,0.024127053298406583,0.6428571428571429,0.1428571428571429
2017,2,-0.012656517673195311,1592954.0,2,0.024127053298406583,0.6428571428571429,0.0
2018,2,-0.045664033967797724,2266953.0,2,0.024127053298406583,0.6428571428571429,0.0714285714285714
2019,2,0.02913386057442724,2340410.8,2,0.024127053298406583,0.6428571428571429,0.0
2020,2,-0.00048566621035417423,1883276.2,2,0.024127053298406583,0.6428571428571429,0.0714285714285714
2021,2,-0.01792610095872449,5120722.2,2,0.024127053298406583,0.6428571428571429,0.0714285714285714
2022,2,0.0013151382027025704,3281020.0,2,0.024127053298406583,0.6428571428571429,0.2857142857142857
2023,2,0.032943230961679615,3541260.0,2,0.024127053298406583,0.6428571428571429,0.1428571428571429
2010,3,-0.044597208321185966,1040823.75,3,0.027799683444968946,0.7142857142857143,0.3571428571428571
