Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,2.887036895387404,6.915209847663611,54.54545454545454,0.05728877580128788,-1.3243055716117351,0.2945295570613873,0.14726477853069364,6,4
Feb,-2.15099158512854,4.657018101313268,36.36363636363637,0.2354787176889811,-1.4379577073704377,-0.9092986578800316,-0.4546493289400158,4,6
Mar,0.3914328380513106,10.831173377310812,63.63636363636363,-2.424482552066906,4.633734216787137,-0.11651605274329468,-0.05825802637164734,7,3
Apr,-0.2078414438944421,5.697255513964565,27.27272727272727,0.7527358250414775,-0.11192582197838297,-0.0740461187882181,-0.03702305939410905,3,7
May,-0.6047466837495736,3.1821775714238285,36.36363636363637,0.30451634846991044,0.07167710506690517,-0.3621081415425125,-0.18105407077125624,4,6
Jun,1.9892511320710873,5.323289529785738,63.63636363636363,1.832606885214734,2.213469870528926,0.46534862048114334,0.23267431024057167,7,3
Jul,4.412502765107778,3.405178092621436,90.9090909090909,0.35213523338482594,-1.2524939429765634,,,10,0
Aug,-0.07481339847184869,6.330539213926705,54.54545454545454,-0.14770264085542414,-1.5262870196501255,-0.15567592432858268,-0.07783796216429134,6,4
Sep,-2.3944323721580982,6.506889711501379,27.27272727272727,-0.5900054550676708,-0.7535139425842341,-0.839280251924152,-0.419640125962076,3,6
Oct,2.0864526838800095,7.724252547169648,54.54545454545454,-0.25286548631894296,-1.1346963142716424,0.1836711503518303,0.09183557517591515,6,4
Nov,1.7309036129809334,5.730652813383851,63.63636363636363,0.6767643440752891,0.4804659602117374,0.28726747586459833,0.14363373793229917,7,3
Dec,2.529671741209482,3.1652286185988987,72.72727272727273,-0.5836211972254048,-0.6113454539705399,0.5636842515741914,0.2818421257870957,8,2
