,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jan,,2.827765224782053,8.418407297324993,2.6715884639051612,-1.9213306718924072,,,5.14010479856577,8.757062063872766,9.010767308602151,3.038430316223173,,-8.747019674920487
Feb,,3.160715103149414,6.410052802015875,0.3439445462723789,4.717746439313597,,-1.5653484071944224,4.375053858062383,-1.2927905912177518,2.9911980671716965,,,-4.475967648087808
Mar,7.596071611654254,-0.5885410245694334,,,-2.955499531966943,-2.5830286091733656,6.5365823885289664,1.8151057781894187,,,-7.482997534941926,1.5884605595245294,4.538645128600627
Apr,2.24252872607249,,-1.1695053735556904,2.537335028311838,-0.31937810556046387,1.922347356656795,,,0.5058374657432418,5.499270523563471,14.973745104805602,5.909812635288891,
May,,-1.2186885551595639,-7.040144716215901,3.577486899924187,,,4.370029383127516,3.897336259196771,5.6729245335611855,-8.225175102942895,,,-1.5865925684606985
Jun,-6.337718171829698,-2.2446904722250083,,,2.8474495378747466,-2.7078630388879366,-2.537606956038807,-2.5833350342742256,,,6.102162091155039,6.139011304655062,-9.082652170388029
Jul,,,0.9975052261825157,6.3140174154025175,1.1819752291255536,4.5577633952808005,,4.061316741266308,2.7963898761642403,2.3347973021834223,7.3465274608278675,,
Aug,-5.129889147282363,-5.068963149498251,5.185185882889276,,,-6.824474852983364,1.0500729403995601,2.0735888496099975,5.78067278246206,,10.944729072828952,4.2186698230320285,-5.1321888289950435
Sep,12.908423213372533,-4.667634636258644,,4.518346333058498,-0.9921806733625083,-2.4446318493401176,1.9580889140260904,,,0.7147790735399173,-5.778624614338879,-5.787608907871533,-10.696020457495504
Oct,,10.40197925296036,-5.279280680608311,4.956901366955813,2.6419684038502034,,-1.457213055210027,4.606391948310828,-8.59571911244913,4.380066934694216,,,3.999851100350149
Nov,-0.17248016876489913,-2.6919781755873173,1.3087084579741948,,,0.6088368489046037,0.43593652922735426,1.9717384951333239,-0.26499363303646994,,11.225773883080215,1.9968460452106873,5.544152713709227
Dec,4.549815559497605,,-1.0182458469079725,2.6011846963945207,-2.603529931716886,-1.8944010667502398,,,-8.921297187200672,3.661625686664083,4.712634452738995,1.023309812692963,
