,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jan,,1265608600.0,828883900.0,741836700.0,831732700.0,,,366254600.0,698394900.0,933706500.0,585493000.0,,1847203000.0
Feb,,1101561900.0,1018602500.0,656562100.0,713558700.0,,942259600.0,307437600.0,1179841200.0,535964100.0,,,1522923600.0
Mar,1623606900.0,1729243300.0,,,809345400.0,633635600.0,601605100.0,442963500.0,,,2191775700.0,1621173600.0,1686792800.0
Apr,1701457500.0,,1056184900.0,835537700.0,1141398200.0,568699300.0,,,987380500.0,550157700.0,1092071200.0,771139800.0,
May,,1054622500.0,1300328800.0,680414200.0,,,536482700.0,532489700.0,687987000.0,901554000.0,,,1951162500.0
Jun,2058088600.0,1155628500.0,,,567012900.0,577030600.0,577926300.0,1046003200.0,,,928360400.0,751288500.0,1359608000.0
Jul,,,860805100.0,581695700.0,661530400.0,644885700.0,,705002300.0,708010500.0,494025500.0,924935100.0,,
Aug,1483278100.0,2526145600.0,679866200.0,,,1010304800.0,369269900.0,810771900.0,667523000.0,,701414600.0,683466500.0,1069920100.0
Sep,1574743200.0,1666877800.0,,503988800.0,755958700.0,881201500.0,540756600.0,,,550650200.0,1325374300.0,931849900.0,1370988700.0
Oct,,1616785100.0,863124200.0,817353700.0,1285037500.0,,406941800.0,549094600.0,1817070600.0,576983400.0,,,1356809000.0
Nov,1564994700.0,1295070500.0,901783900.0,,,543413300.0,598118800.0,584198400.0,1152121500.0,,751645800.0,922244500.0,1195762800.0
Dec,1006766900.0,,815856000.0,651649200.0,815702200.0,757497500.0,,,1395544900.0,429951100.0,569870600.0,1232817200.0,
