Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,0.6123637720864861,4.2295557993223,63.63636363636363,-0.5079449504949318,-0.3979955070769905,0.05535538093722481,0.027677690468612404,7,3
Feb,-0.18683483374682755,3.0921151038933536,54.54545454545454,-1.5925938973139249,1.9006981514411354,-0.26437632512699316,-0.13218816256349658,6,4
Mar,0.6063864833633797,4.053923711301548,63.63636363636363,-1.13421529988542,1.0549397560642504,0.0784650821743409,0.03923254108717045,7,3
Apr,0.2245708391542771,3.1284720571683104,63.63636363636363,-0.8522494282736118,0.6471680557168065,-0.06228269500331207,-0.031141347501656036,7,3
May,0.5026021963242099,3.122931448811484,63.63636363636363,-0.9972100301204913,-0.11740361446751724,0.0732541831883865,0.03662709159419325,7,3
Jun,0.9698673296083153,2.2746817007106244,63.63636363636363,0.7698489531325831,0.4006410889723919,0.3793899400814698,0.1896949700407349,7,3
Jul,2.3692590584688276,1.7986251961652644,90.9090909090909,0.9216027204152275,0.6323252572303808,,,10,0
Aug,-0.14358366010103918,3.7283245812904013,54.54545454545454,-0.7767080012578889,-0.6562107413775458,-0.20798854637576158,-0.10399427318788079,6,4
Sep,-0.8619738959572828,2.7826788454638285,45.45454545454545,-1.124200803923037,0.5088558919819621,-1.3345427953617246,-0.6672713976808623,5,4
Oct,0.9826466542182917,3.641194165009791,63.63636363636363,-0.11053899196067665,-0.6888753417293678,0.21810809015218224,0.10905404507609112,7,3
Nov,1.9094767814731155,3.1013419431444778,72.72727272727273,1.7402787669295345,2.368081183978525,0.6579753048718413,0.32898765243592065,8,2
Dec,0.03012155263671938,3.0378824458509066,72.72727272727273,-1.8383000497454283,2.377567410637921,-0.33164528114271974,-0.16582264057135987,8,2
