Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,3.0334980500134594,18.74948364324657,50.0,-0.37004891149638464,-0.469687534403044,0.06889332546138771,0.034446662730693856,4,3
Feb,6.978846130280032,27.487806940878045,50.0,-0.046676756114140475,-1.3481591617969757,0.13946954931267813,0.06973477465633907,4,3
Mar,-3.4559875674839953,12.114568493417993,37.5,-0.003441845758290605,-1.3754457822572745,-0.5725679595295409,-0.28628397976477044,3,4
Apr,5.710043647613603,25.023404418032705,62.5,0.48467985402921326,-0.981375170118076,0.28953190519688704,0.14476595259844352,5,3
May,-5.650331754250482,21.174277674226946,50.0,-1.2330520308455155,0.5664597465465295,-0.7090151661991468,-0.3545075830995734,4,4
Jun,9.051098460107983,13.789845417754584,75.0,-0.8682522450745976,-0.5485123231408222,0.568221218110803,0.2841106090554015,6,2
Jul,-6.756254715837513,15.214014360571932,25.0,0.2585725002313696,-1.1254616618025874,-0.506108707221787,-0.2530543536108935,2,6
Aug,-4.7561341881813615,12.727918779254512,50.0,-0.8404609061825203,-0.08000325000409925,-0.9859596661168859,-0.49297983305844295,4,4
Sep,-4.150160372628624,11.308441678120676,25.0,0.09644677356336187,-0.3168519850071023,-0.6808484952459539,-0.34042424762297696,2,5
Oct,1.758706750642012,24.155938264672823,50.0,0.837146882272804,0.3679823778737883,-0.03195015143381752,-0.01597507571690876,4,3
Nov,4.3868628492458015,15.484423249001852,50.0,1.36003828172297,0.9461381540576466,0.249424416180883,0.1247122080904415,4,3
Dec,2.308678850570521,12.646071118986475,50.0,0.009066041075135554,-0.8852972149089067,0.08857841241709274,0.04428920620854637,4,3
