Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,3.805168551197714,24.701324086910898,54.54545454545454,0.2706658434357695,-0.6187611453719075,0.09029117999757036,0.04514558999878518,6,4
Feb,7.703796295496545,15.611150403650068,63.63636363636363,0.34653016702779715,-0.8937552050659905,0.4329242017563997,0.21646210087819984,7,3
Mar,0.3470801438253081,21.93840164145649,45.45454545454545,-1.2072383385992012,1.5303113835984048,-0.06587896476274918,-0.03293948238137459,5,5
Apr,-4.736295097685318,24.178042905968322,18.181818181818183,0.625527305565628,-0.21998877808737527,-0.16480182212804806,-0.08240091106402403,2,8
May,16.621084785595325,24.233724561872815,81.81818181818183,-1.3340378444124532,1.6238546678812185,0.5029094077712897,0.25145470388564484,9,1
Jun,0.20665345395055598,24.751688558552214,45.45454545454545,-0.29900101948122926,-0.5179485111108293,-0.07953081339264184,-0.03976540669632092,5,5
Jul,11.54844815238826,20.53863392287773,63.63636363636363,0.2785486275241403,-0.3190852628922549,0.4511979083421461,0.22559895417107306,7,3
Aug,-3.0513589685047573,14.917468961739292,45.45454545454545,-0.21512778899781246,-1.0821983054595732,-0.4455768097859086,-0.2227884048929543,5,5
Sep,-4.884253277580002,15.199396331353732,27.27272727272727,-0.6168131492405713,-0.14513951740701803,-0.6181282162535291,-0.30906410812676455,3,6
Oct,2.7290923660580044,20.015723102623355,45.45454545454545,-0.28491366317013034,-0.5975625298296707,0.08080789023384138,0.04040394511692069,5,5
Nov,24.892481147818035,23.3666918002248,81.81818181818183,0.4746383044970178,-1.2595847609168496,0.8091043904437527,0.40455219522187635,9,1
Dec,2.3537335120851037,19.25507120780418,45.45454545454545,0.13684495141995445,-0.37600017503378247,0.06653272979266428,0.03326636489633214,5,5
