Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,1.46170969745395,3.5085096908127866,60.0,0.6661031310957833,-0.4039810654084546,0.3637726489789991,0.18188632448949954,6,3
Feb,-0.20802251175729075,5.548993114687884,50.0,-0.17866700550521888,-0.21101590537292259,-0.1940898102579922,-0.0970449051289961,5,4
Mar,-0.5678496502850295,10.030929813052657,60.0,-1.9219148452871155,2.926787414403705,-0.3704048862100803,-0.18520244310504014,6,3
Apr,1.6001286600192088,4.651153735198079,60.0,1.5688965700484319,2.0153404585481614,0.3655134470512887,0.18275672352564434,6,3
May,-0.06379382519194125,4.269147304528276,70.0,-0.9613074748890486,-0.33644054197475937,-0.39643029184935874,-0.19821514592467937,7,2
Jun,0.8688032068604379,4.960018858306593,60.0,-0.6711602518790283,0.12055268148781106,0.11129383835208467,0.055646919176042337,6,3
Jul,2.037690319960015,2.661679304936534,70.0,0.5973686386805446,-0.5764839845146312,0.614191627329374,0.307095813664687,7,2
Aug,-0.4110546100253932,2.9719490528868007,40.0,-0.021821622346187695,-0.9097315151025103,-0.28690691579368777,-0.14345345789684388,4,5
Sep,-1.1081386129158346,4.669740269500776,30.0,-0.503581602086055,0.4190291039262015,-0.5683244000203613,-0.28416220001018067,3,5
Oct,0.5501066097831876,3.9561240595242055,50.0,1.3042466748890231,1.4849868617110191,-0.029489422071305893,-0.014744711035652946,5,3
Nov,4.364427209324587,5.664558295818875,70.0,0.8686140492904817,0.21121845909260628,0.6142193208763931,0.30710966043819654,7,2
Dec,1.1346108399970556,4.988901534151576,60.0,-0.36717362671114767,-0.3326748836468587,0.17446644736456557,0.08723322368228278,6,3
