Month,Mean Return (%),Std Return (%),Highest Return (%),Highest Return Year,Lowest Return (%),Lowest Return Year,Mean Volume,Highest Volume,Highest Volume Year,Lowest Volume,Lowest Volume Year,Mean ATR,Mean RSI,Mean 20 Day MA,Mean Upper Band,Mean Lower Band,Mean Tenkan-sen,Mean Kijun-sen,Mean Senkou Span A,Mean Senkou Span B,Mean Chikou Span,Close > RSI Days,Close > Upper Band Days,High > ATR Days
Jan,0.3596358682402074,4.814614257990975,8.006559960563543,2019,-8.211431968229121,2009,2853895582.352941,6872039400,2009,1392003800,2020,3.0643141217813326,56.759685916627674,241.21964821432925,249.01830754656385,233.4209888820946,241.19216781370233,246.5908287110783,243.44350481662232,238.35906325509973,244.75603028890322,17,4,17
Feb,0.4188999894313879,4.779950040904886,5.620459706888958,2015,-10.744900795767109,2009,2691990176.470588,7275092500,2009,1307806200,2021,3.4157058019018023,57.830231191003925,243.86896385057057,252.14758955782546,235.59033814331565,243.83306253982403,242.12219028915783,246.52154498100282,241.76819459764582,243.7426639356111,17,5,17
Mar,1.22937284840616,4.720400244297406,7.561201562039321,2009,-12.998720210699632,2020,3329414970.5882354,8813959700,2009,1473246900,2024,3.9809611782670475,54.71578100965941,244.0113750212337,253.67347532567825,234.34927471678907,242.7438390925501,242.238260845401,242.2787279104638,246.1527216941023,247.9033930230854,17,5,17
Apr,2.049589327801906,4.805924430197251,12.69835537781887,2020,-8.776904916030038,2022,2521028676.470588,6023006600,2009,1209204700,2019,3.30741516600487,57.194950089436084,245.6054062336266,253.92392112861847,237.2868913386347,246.48864522081197,243.7061117864161,242.61443241955507,240.68627836590846,249.4621144440743,17,6,17
May,0.5049663534018033,3.9181231139310433,5.8453451354187,2009,-7.9454549330801765,2010,2684517488.2352943,7413878800,2010,1153264400,2024,3.3281646927791884,53.57465137790285,248.22320930281336,255.38190917242002,241.0645094332067,247.75892334100942,246.85522799437246,244.08188773828635,241.710742690055,251.85165338761513,17,3,17
Jun,-0.3573033646445803,4.3711821259207495,6.440953134723126,2019,-8.81368165916465,2008,2801852317.647059,5706059600,2010,888923200,2024,3.0701186321901157,54.02504831693095,250.5388671202539,258.3800150249658,242.697719215542,250.76384748052126,249.169537151423,246.84741458268059,243.66679874180022,257.0004859771141,17,3,17
Jul,3.0352952312859514,3.1292185607141585,9.208744926275681,2022,-2.0004541677872467,2011,2436458294.117647,7156206800,2008,1038465500,2024,2.85343610740028,59.66739782473204,253.25201010802394,260.48814837007893,246.01587184596895,254.11522575482354,252.14955065061585,249.47022949735535,246.65518003487546,258.20433273519427,17,5,17
Aug,0.022244205072786172,3.766472258609274,6.979667190901329,2020,-6.095012746344275,2015,2642608988.2352943,9050451800,2011,851557600,2024,3.1471270890259477,53.0860558228573,257.76513606327023,265.6527540000708,249.8775181264697,257.2387098394783,255.479029888321,251.88209506100088,249.2131275909703,237.70170142725544,17,3,17
Sep,-1.7077076475584672,5.00081508836731,8.375272907889709,2010,-9.938656797601908,2008,2835600968.75,8105188900,2008,1228103300,2018,3.0390807404553977,53.345047723375714,240.1695802848321,247.78663316561492,232.55252740404933,239.59276117716814,239.38915309093352,238.29646289722066,234.2676629243339,237.18552943351574,16,1,16
Oct,1.023004518018514,6.7508513322056185,10.914713484379845,2011,-16.518662286051857,2008,3285782612.5,11882352200,2008,1320624600,2017,3.5997965124903426,52.37217262650836,236.47917314006767,245.27839386288238,227.67995241725293,235.41519513961265,236.1708467951293,239.8243688410921,237.0129701021183,244.2671591708289,16,6,16
Nov,2.651187382496138,4.192549717069709,10.877683617376842,2020,-6.960658231654038,2008,2641493525.0,8762237000,2008,1037123500,2019,3.1762378244898546,61.11237222542181,239.59097984586742,248.6753354394006,230.50662425233423,240.9528066981108,237.50556828820316,236.1890545157412,237.41574428117366,246.85512577722545,16,6,16
Dec,0.49030406974586027,3.8787141237541105,6.127101246619526,2010,-9.334299400420631,2018,2627753193.75,6919927700,2008,1285175800,2019,3.06400417463313,57.622653861765855,245.23772584994686,252.46437203729803,238.01107966259573,245.69740137396056,243.14214995951988,237.79821564825284,236.85755593657737,249.9564016650168,16,5,16
