Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,0.8216452573101786,4.428905048462218,45.45454545454545,0.1979452148115782,-1.04819789793132,0.1205526335089922,0.0602763167544961,5,5
Feb,0.3353894118370293,4.268470536473682,45.45454545454545,-0.4499829878260969,-0.7828011484273594,0.005882324968179198,0.002941162484089599,5,5
Mar,0.6490786858196727,5.186483227917328,63.63636363636363,-1.4700168919697632,1.8277028201557517,0.04094558564649764,0.02047279282324882,7,3
Apr,1.2500153101508722,5.3568781184129675,72.72727272727273,0.29393461370637863,0.7935503778904685,0.20115019997505756,0.10057509998752878,8,2
May,1.0562131156028585,2.9970463235874467,81.81818181818183,-1.1483168681236655,1.7776035301231694,0.23829840206141084,0.11914920103070542,9,1
Jun,1.1150595513274142,4.127213857703581,72.72727272727273,-0.7218209442897102,0.718796837652123,0.22992865802334017,0.11496432901167009,8,2
Jul,3.2001449736201963,2.522187917906882,90.9090909090909,1.2313153094149338,1.0428827281481423,,,10,0
Aug,0.22008601666985753,3.6335750343334383,54.54545454545454,0.04603051066932481,-0.3493873040780575,-0.03252118656523961,-0.016260593282619806,6,4
Sep,-1.8530432307920206,3.473361828056596,36.36363636363637,-0.7777033483598045,-0.253933212975221,-2.4205873617880944,-1.2102936808940472,4,5
Oct,1.5694077750814288,4.8807712996841595,54.54545454545454,0.008665540107033753,-0.9045841710360878,0.24864921877215934,0.12432460938607967,6,4
Nov,3.645062503570975,3.664667721865433,81.81818181818183,0.7935281769052948,-0.3453051292855567,0.7860346176118873,0.39301730880594365,9,1
Dec,0.22646512611206318,4.280222764136693,54.54545454545454,-0.9685906881367224,-0.08567948730427277,-0.04716048164709752,-0.02358024082354876,6,4
