Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.774419402949741,-12.839500418820649,5.665718704755074
2015,4.825727743176156,-19.43734429194973,6.190482425954458,-6.278027233860406,-7.376392693407141,6.715448303475013,-13.352168125620434,17.783987490426245,3.834004279568881,-29.00648091630844,-2.573704548443201,2.641693945679102
2016,19.46383510609506,2.4236825935420203,-18.97458021336377,8.977832775870166,-12.80398070599965,5.065448471882195,-19.176582261031218,-3.351217263037154,-7.281551562324406,4.038877603608904,-2.372371841097898,-4.050100166767856
2017,-14.025316170446334,-12.117817752730975,-5.916706883137801,-7.854259281091913,-11.130654248032956,6.394210584771298,-11.679057231310018,-6.313570028453008,0.37439600376238946,-12.980236867204663,-5.915152270665047,-1.8635850209944294
2018,-22.454672879179128,0.17984265588220083,9.92940447470132,-3.6552112987798924,-15.345414382075662,-3.4503865282834,-8.40863145637245,-15.70561929306603,0.8576270788070772,24.59605739072208,-2.521615108698827,24.473383694936746
2019,-25.238666503006357,-8.220276254794555,-11.316484933777138,-14.454279710770223,27.70114832088215,-20.343164251830416,-6.856341153005041,2.9016526260902564,-2.9609747412915444,-12.673028987891133,-11.130685242783468,-10.832944417563283
2020,-9.066556702082574,14.931233185812642,-16.600249172073756,-40.49331973639156,-18.566490019547956,-19.830325861325772,-21.560868305999715,-27.993234990006698,11.709599553555217,4.947589178208345,-29.28485708508771,-14.237286367492253
2021,-3.096200016630901,-1.563547323951442,-9.392270413125491,-16.99695087333346,1.652876001622472,-17.43449421366786,-8.75272813688911,-12.230219809248744,17.89616823774709,-21.32097797473702,-7.06921305980206,-5.863705890959392
2022,25.85859679101892,8.961998424263019,-17.33366131337978,45.6192357155236,-3.508044123173837,24.37116569314759,-32.30795443353188,13.95933184616358,35.09583275088144,-15.362037662455863,-20.269747000706605,30.914992532529673
2023,-27.12459500860819,-0.5843542223615938,-24.49761971867731,-1.3623889452273108,-20.372933610211096,-16.866553815732765,-10.576419346565691,4.730919907257469,17.429179949599337,6.164382143377267,-26.175121918553657,-14.276825917951996
2024,-4.981409376830159,-14.006260385193169,-3.1933368848681254,14.026721620303562,-16.15062673681691,-15.758766548632808,3.743966541233923,-4.540166896333053,0.0,0.0,0.0,0.0
