Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,6.159640774500232,25.022358478395798,45.45454545454545,0.6980751309968097,-0.49180787365947287,0.1725427550579347,0.08627137752896735,5,5
Feb,0.7064407367821489,8.449092410480096,45.45454545454545,0.34251399743636196,0.7052669834326624,0.034514443149240126,0.017257221574620063,5,5
Mar,-2.000839869138226,15.43944922207497,36.36363636363637,0.3196649923892145,-0.9778719538533869,-0.22826614227497788,-0.11413307113748894,4,6
Apr,4.800391970778815,19.823507780094296,63.63636363636363,0.7205796909753944,0.45649942049380776,0.20462234628693604,0.10231117314346802,7,3
May,-0.9111471595645729,13.013509175456669,36.36363636363637,0.25539093272611857,-0.4120375378743679,-0.14491558676866767,-0.07245779338433384,4,6
Jun,10.50494570552122,13.152361994526137,72.72727272727273,-0.03574844372975866,-1.0219074562798434,0.5939090466265462,0.2969545233132731,8,2
Jul,7.249791057614161,15.13879898642623,63.63636363636363,0.5358306863035655,-0.7065582570387221,0.4375791832897843,0.21878959164489215,7,3
Aug,4.6529262468404085,23.906081795684354,36.36363636363637,2.500568035313778,4.895757886148728,0.17435952813303499,0.08717976406651749,4,6
Sep,-2.6328688166511096,6.2979448889062235,18.181818181818183,-0.3884407502061828,-0.43038197313107185,-0.6083390912377447,-0.30416954561887233,2,7
Oct,3.209403209665982,21.13593117393907,27.27272727272727,0.8142388544111143,-0.7132947563224268,0.0691333690426581,0.03456668452132905,3,7
Nov,5.836198379341467,16.109670359901237,63.63636363636363,1.433390461763842,1.7632737047193459,0.3952424566970415,0.19762122834852075,7,3
Dec,1.270607587495499,17.32791521467339,54.54545454545454,-0.5343321957685827,0.452841045770183,-0.004889341630743171,-0.0024446708153715857,6,4
