Year,Week_Number,Return,Volume,Week,Volatility,Positive_Returns,Kelly_Ratio
2010,1,0.0,,1,0.21900233170012445,0.2857142857142857,-0.2142857142857143
2011,1,0.0,,1,0.21900233170012445,0.2857142857142857,-0.2857142857142857
2012,1,-0.4629231168662785,0.0,1,0.21900233170012445,0.2857142857142857,-0.14285714285714285
2013,1,-0.24731971040383782,0.4,1,0.21900233170012445,0.2857142857142857,-0.14285714285714285
2014,1,0.22724824049429215,5.6,1,0.21900233170012445,0.2857142857142857,0.0
2015,1,-0.032604373757455285,17.0,1,0.21900233170012445,0.2857142857142857,-0.07142857142857145
2016,1,0.44870148615638716,165.2,1,0.21900233170012445,0.2857142857142857,-0.4285714285714286
2017,1,-0.2784023318254173,638.0,1,0.21900233170012445,0.2857142857142857,-0.07142857142857145
2018,1,-0.1800721254299924,7971.4,1,0.21900233170012445,0.2857142857142857,-0.14285714285714285
2019,1,-0.10211213546727615,21309.2,1,0.21900233170012445,0.2857142857142857,-0.07142857142857145
2020,1,0.013586968687422263,35101.0,1,0.21900233170012445,0.2857142857142857,-0.14285714285714285
2021,1,-0.029067198049345877,180609.6,1,0.21900233170012445,0.2857142857142857,-0.14285714285714285
2022,1,0.02806729982420819,1182227.6,1,0.21900233170012445,0.2857142857142857,-0.4285714285714286
2023,1,-0.07860612630655295,645403.0,1,0.21900233170012445,0.2857142857142857,-0.14285714285714285
2010,2,0.0,,2,0.0923724334219634,0.21428571428571427,-0.2142857142857143
2011,2,0.0,,2,0.0923724334219634,0.21428571428571427,-0.2142857142857143
2012,2,-0.015330375560391074,0.0,2,0.0923724334219634,0.21428571428571427,-0.14285714285714285
2013,2,-0.07603013923130264,0.0,2,0.0923724334219634,0.21428571428571427,-0.2857142857142857
2014,2,-0.10976293963338013,1.4,2,0.0923724334219634,0.21428571428571427,-0.2857142857142857
2015,2,0.07286050837053648,16.0,2,0.0923724334219634,0.21428571428571427,-0.07142857142857145
2016,2,0.1635863232665905,174.4,2,0.0923724334219634,0.21428571428571427,-0.35714285714285715
2017,2,-0.059802929907287194,1191.2,2,0.0923724334219634,0.21428571428571427,-0.14285714285714285
2018,2,-0.035424628419978066,8906.8,2,0.0923724334219634,0.21428571428571427,-0.2142857142857143
2019,2,-0.16671117238254762,10767.0,2,0.0923724334219634,0.21428571428571427,0.0
2020,2,-0.11338967845345205,29830.8,2,0.0923724334219634,0.21428571428571427,-0.2142857142857143
2021,2,0.07120678660520385,131178.0,2,0.0923724334219634,0.21428571428571427,-0.2857142857142857
2022,2,-0.025185340888981833,1453563.2,2,0.0923724334219634,0.21428571428571427,-0.2142857142857143
2023,2,-0.15491944801421986,642522.8,2,0.0923724334219634,0.21428571428571427,-0.2857142857142857
2010,3,0.0,,3,0.14977537178414496,0.35714285714285715,-0.35714285714285715
2011,3,0.0,,3,0.14977537178414496,0.35714285714285715,-0.2142857142857143
2012,3,-0.2004914581524414,0.0,3,0.14977537178414496,0.35714285714285715,-0.2857142857142857
2013,3,-0.1926099505760427,0.0,3,0.14977537178414496,0.35714285714285715,-0.14285714285714285
2014,3,0.014509539102856794,1.8,3,0.14977537178414496,0.35714285714285715,-0.14285714285714285
2015,3,0.2088653092723214,18.6,3,0.14977537178414496,0.35714285714285715,-0.14285714285714285
2016,3,-0.12287090725100303,146.25,3,0.14977537178414496,0.35714285714285715,-0.07142857142857145
2017,3,-0.0721016280415483,1653.25,3,0.14977537178414496,0.35714285714285715,0.0
2018,3,0.08260815781766628,19526.25,3,0.14977537178414496,0.35714285714285715,-0.2857142857142857
2019,3,-0.08412074849412787,9468.6,3,0.14977537178414496,0.35714285714285715,-0.2857142857142857
2020,3,-0.08588460901654393,27507.0,3,0.14977537178414496,0.35714285714285715,0.2142857142857143
2021,3,-0.06570096010313864,120658.25,3,0.14977537178414496,0.35714285714285715,-0.14285714285714285
2022,3,0.3544217116503465,2013462.0,3,0.14977537178414496,0.35714285714285715,-0.07142857142857145
2023,3,0.02095205514924281,805386.0,3,0.14977537178414496,0.35714285714285715,-0.2142857142857143
2010,4,0.0,,4,0.16032312172582347,0.35714285714285715,-0.14285714285714285
2011,4,0.0,,4,0.16032312172582347,0.35714285714285715,-0.2142857142857143
2012,4,-0.17086453081514474,0.0,4,0.16032312172582347,0.35714285714285715,-0.2857142857142857
2013,4,-0.0869590512254268,0.0,4,0.16032312172582347,0.35714285714285715,-0.2142857142857143
2014,4,0.17413115290717773,3.0,4,0.16032312172582347,0.35714285714285715,-0.2857142857142857
2015,4,-0.19246378428701205,14.75,4,0.16032312172582347,0.35714285714285715,-0.2142857142857143
2016,4,-0.06578860727559932,106.0,4,0.16032312172582347,0.35714285714285715,-0.2142857142857143
2017,4,-0.16905828216307195,1611.6,4,0.16032312172582347,0.35714285714285715,0.0
2018,4,0.06387318532588271,15454.8,4,0.16032312172582347,0.35714285714285715,-0.2857142857142857
2019,4,0.013462636965015484,17957.5,4,0.16032312172582347,0.35714285714285715,-0.07142857142857145
2020,4,0.10243512691227308,43462.5,4,0.16032312172582347,0.35714285714285715,0.0
2021,4,0.4100951066336328,255392.8,4,0.16032312172582347,0.35714285714285715,
2022,4,-0.009296338838638118,3062131.6,4,0.16032312172582347,0.35714285714285715,
