,mean,std,count,positive_prob,kelly_size,highest_return_value,highest_return_year,lowest_return_value,lowest_return_year,mean_volume,highest_volume_value,highest_volume_year,lowest_volume_value,lowest_volume_year,Ticker
Jan,0.12009872118989998,4.406626297098377,23,0.4583333333333333,-19.416337720164027,8.006555916402537,2019,-8.21145190092234,2009,1386883725.0,6106834300.0,2008,0.0,2004,SPY
Feb,-0.4267456496694124,4.4019333764682225,24,0.5,5.657560926371802,5.620451613592015,2015,-10.744899941713616,2009,1360057975.0,4151028600.0,2008,0.0,2004,SPY
Mar,1.3555700285881003,4.649287170481013,24,0.7083333333333334,-0.29201490599937496,9.691493547926754,2000,-12.487114133287058,2020,2122811287.5,8813959700.0,2009,0.0,2001,SPY
Apr,2.019983191149375,4.871534453346764,24,0.75,0.14708230312366488,12.698340514159746,2020,-8.776895480965452,2022,1506309625.0,6023006600.0,2009,0.0,2000,SPY
May,0.48327620966990653,3.525542551584317,24,0.6666666666666666,-1.765029384191688,5.84535145939693,2009,-7.945465805171015,2010,1146369762.5,4004156100.0,2012,0.0,2003,SPY
Jun,-0.3203404590554548,3.9667167720248737,24,0.5833333333333334,5.742839753108566,6.958632724558789,2019,-8.35757688566121,2008,1733127933.3333333,5706059600.0,2010,0.0,2001,SPY
Jul,1.6517068685789813,3.9023693277153195,24,0.6666666666666666,-0.12087608722659504,9.208746674954348,2022,-7.881978188478655,2002,1471250358.3333333,7156206800.0,2008,0.0,2004,SPY
Aug,0.20399068545245433,3.691355876034108,24,0.625,-6.160890495159055,6.979680648169784,2020,-6.095016912766549,2015,1824962670.8333333,9050451800.0,2011,0.0,2002,SPY
Sep,-1.5320382485558015,5.029787377245783,24,0.5,2.1415345315259544,8.95544820243044,2010,-10.485208041659543,2002,1782726637.5,8105188900.0,2008,0.0,2000,SPY
Oct,1.4256406788166045,5.781812310273594,24,0.625,-0.8958457843335108,10.914677893025427,2011,-16.51867546878828,2008,2024766583.3333333,11882352200.0,2008,0.0,2004,SPY
Nov,2.373915103940611,4.446477661026779,24,0.75,0.2817358175903394,10.877677229695436,2020,-7.465266063297216,2000,1608825433.3333333,5472709900.0,2007,0.0,2002,SPY
Dec,0.7935151980002183,3.5912886662291243,24,0.6666666666666666,-0.8419323180701647,6.685226978123149,2010,-8.804845640396241,2018,1549883254.1666667,6919927700.0,2008,0.0,2000,SPY
Jan,0.9249436187741583,6.254758160326924,23,0.5833333333333334,-2.234297039557416,10.642940331671635,2023,-11.889846845270979,2008,1066192650.0,4828694600.0,2008,0.0,2004,QQQ
Feb,-0.49550588873634727,8.083707714407929,24,0.4166666666666667,9.93319568060744,19.02439443504449,2000,-26.20528119058877,2001,940221216.6666666,3020516600.0,2008,0.0,2004,QQQ
Mar,1.2840928611095317,5.893101968686495,24,0.6666666666666666,-0.8631037902753412,10.316558420259003,2009,-17.492162151061706,2001,1221477183.3333333,3805123800.0,2009,0.0,2001,QQQ
Apr,1.7351551832848975,7.96603003002904,24,0.625,-1.0966104300282677,17.880051481936633,2001,-13.595742084123275,2022,965737925.0,2991632100.0,2009,0.0,2000,QQQ
May,0.7900400653644354,6.0653317099425745,24,0.5833333333333334,-2.6155190497336327,8.862249615886197,2005,-12.269139006312457,2000,833921675.0,2709535300.0,2006,0.0,2003,QQQ
Jun,0.15130002781439558,5.880455480560907,24,0.5416666666666666,-17.27200330324269,12.406031976399511,2000,-13.11589341848941,2002,1053734229.1666666,3542909100.0,2008,0.0,2001,QQQ
Jul,2.261617418489721,5.601012491021771,24,0.75,0.1308620718483351,12.551728295646857,2022,-8.621390255118877,2001,1016575341.6666666,3953264300.0,2008,0.0,2004,QQQ
Aug,0.8193333641586761,5.712428822159261,24,0.5416666666666666,-2.653853811347956,13.626871619903591,2000,-12.284477440736596,2001,1041212191.6666666,3835583500.0,2007,0.0,2002,QQQ
Sep,-2.3686619044639836,7.738037906330861,24,0.4166666666666667,2.322322951699516,13.172823666839562,2010,-20.88451819496122,2001,1025299962.5,5188670400.0,2008,0.0,2000,QQQ
Oct,2.8720411412202966,7.968565180604073,24,0.625,-0.41544886399394376,18.484607692099786,2002,-15.47160375465153,2008,1373547079.1666667,7240779800.0,2008,0.0,2004,QQQ
Nov,2.2561632474427396,8.078777291849015,24,0.75,-0.14518979854471403,16.961693786589294,2001,-22.910718764486493,2000,1065864916.6666666,4567776300.0,2007,0.0,2002,QQQ
Dec,-0.376841521449266,4.783419259090005,24,0.5,6.84672532991298,5.586973915207749,2023,-12.085108061080907,2002,857203045.8333334,2944238700.0,2008,0.0,2000,QQQ
Jan,9.196214633296458,25.417724982921534,13,0.6153846153846154,-0.44766670085572025,50.15513239602383,2023,-34.450813580507585,2022,364783546.15384614,1968469900.0,2023,0.0,2015,SOXL
Feb,8.268694724199069,12.709935316671423,13,0.7692307692307693,0.41451190561483764,30.885157417999842,2015,-15.849104909041657,2020,343510400.0,1633245000.0,2023,0.0,2015,SOXL
Mar,0.44555928188537364,20.820370959850013,13,0.5,-22.864310661141545,27.64646039056593,2016,-53.733072912025825,2020,434949878.5714286,1963789200.0,2023,0.0,2012,SOXL
Apr,-2.9624160774616857,21.66204665686001,14,0.35714285714285715,5.057900974213012,38.283703195046236,2020,-42.6508484523882,2022,233384542.85714287,1017538500.0,2020,0.0,2011,SOXL
May,9.36099979413962,25.94572754449556,14,0.7142857142857143,-0.07762382270134005,48.629655058236935,2023,-43.63200788749735,2019,364568928.5714286,1512376700.0,2023,0.0,2010,SOXL
Jun,-1.8658501096396563,23.580187446581046,14,0.42857142857142855,7.650155175842528,40.09723928454913,2019,-47.23717462052611,2022,328120800.0,1165172000.0,2022,0.0,2012,SOXL
Jul,9.496946927512875,19.09376604189673,14,0.6428571428571429,-0.07518437194430061,51.37403278418444,2022,-17.401718415641522,2011,244916007.14285713,942752600.0,2023,0.0,2010,SOXL
